,Sourcerecord ID,Source Title,ISSN,EISSN,Active or Inactive,Coverage,Medline-sourced Title? (See additional details under separate tab.),Open Access Status,Articles in Press Included?,Added to List Jun. 2025,Source Type,Title History Indication,Related Title 1,Other Related Title 2,Other Related Title 3,Other Related Title 4,Publisher,Publisher Imprints Grouped to Main Publisher,All Science Journal Classification Codes (ASJC),"1400
Business, Management and Accounting","1700
Computer Science","1800
Decision Sciences","2000
Economics, Econometrics and Finance","2600
Mathematics","2800
Neuroscience","3300
Social Sciences"
26,7200153175,"Brandeis journal of family law / Louis D. Brandeis School of Law, University of Louisville",15212246,,Inactive,1997,,,,,Journal,Continued as,Brandeis law journal,,,,Brandeis School of Law,Brandeis School of Law,,,,,,,,
27,6500153251,Butlletí de la Societat d'Amics de la Història i de la Ciència Farmacèutica Catalana : BSAHCFC,1133990X,,Inactive,1995-1996,,,,,Journal,,,,,,Societat d'Amics de la Historia i de la Ciencia Farmaceutica Catalana,Societat d'Amics de la Historia i de la Ciencia Farmaceutica Catalana,,,,,,,,
28,9700153243,Carnegie-Rochester Confer. Series on Public Policy,01672231,,Inactive,1976-1995,,,,,Journal,Incorporated into,Journal of Monetary Economics,,,,North-Holland Publ Co,Elsevier,,,,,,,,
29,12100154709,Chinese Astronomy,01466364,,Inactive,1977-1980,,,,,Journal,Continued as,Chinese Astronomy and Astrophysics,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
30,5800184430,Communist Affairs,05888174,,Inactive,1962-1967,,,,,Journal,Continued as,Studies in Comparative Communism,,,,University of Southern California,University of Southern California,,,,,,,,
31,9700153205,Computer Fraud and Security Bulletin,01420496,,Inactive,1978-1995,,,,,Journal,Continued as,Computer Fraud and Security,,,,Elsevier Science,Elsevier,,,,,,,,
32,12100157019,Computer Networks (1976),03765075,,Inactive,1976-1984,,,,,Journal,Continued as,Computer Networks and ISDN Systems,,,,North-Holland Publ Co,Elsevier,,,,,,,,
33,12100155602,Computers and Urban Society,03057097,,Inactive,1975,,,,,Journal,Continued as,Urban Systems,,,,Elsevier B.V.,Elsevier,,,,,,,,
34,10000153404,Data Processing,0011684X,,Inactive,1981-1986,,,,,Journal,Continued as,Information and Software Technology,,,,Elsevier B.V.,Elsevier,,,,,,,,
35,12100154941,Deep Sea Research (1953),01466313,,Inactive,1953-1961,,,,,Journal,Continued as,Deep-Sea Research and Oceanographic Abstracts,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
36,10000153405,Evaluation in Education,0191765X,,Inactive,1979-1986,,,,,Journal,Continued as,Evaluation in Education. International Progess,International Journal of Educational Research,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
37,12100154813,Evaluation in Education. International Progess,01459228,,Inactive,1977-1979,,,,,Journal,Continued as,Evaluation in Education,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
38,19600163100,General Topology and its Applications,0016660X,,Inactive,1971-1979,,,,,Journal,Continued as,Topology and its Applications,,,,North-Holland Publ Co,Elsevier,,,,,,,,
39,21101011207,Genome science & technology,10702830,,Inactive,1995,,,,,Journal,Continued as,Microbial and Comparative Genomics,,,,Mary Ann Liebert Inc.,Mary Ann Liebert,,,,,,,,
40,11800154314,Government Publications Review. Part A,0196335X,,Inactive,1980-1981,,,,,Journal,Continued as,Government Publications Review,Government Publications Review,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
41,11800154307,Government Publications Review. Part B,01963368,,Inactive,1980-1981,,,,,Journal,Continued as,Government Publications Review,Government Publications Review,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
42,21100823455,Industrial and Engineering Chemistry - Chemical and Engineering Data Series,00959146,,Inactive,1956-1957,,,,,Journal,Continued as,Journal of Chemical and Engineering Data,,,,American Chemical Society,American Chemical Society,,,,,,,,
43,9800153113,Infectious Diseases Newsletter,02782316,,Inactive,1981-1993,,,,,Journal,Continued as,Antimicrobics and Infectious Diseases Newsletter,,,,Elsevier B.V.,Elsevier,,,,,,,,
44,11800154310,Inorganic and Nuclear Chemistry Letters,00201650,,Inactive,1965-1981,,,,,Journal,Continued as,Polyhedron,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
45,12100154902,Inorganica Chimica Acta Reviews,00738085,,Inactive,1967-1973,,,,,Journal,Incorporated into,Inorganica Chimica Acta,,,,Elsevier Sequoia,Elsevier,,,,,,,,
46,9800153163,Insect Biochemistry,00201790,,Inactive,1971-1991,,,,,Journal,Continued as,Insect Biochemistry and Molecular Biology,,,,Elsevier B.V.,Elsevier,,,,,,,,
47,12100154821,International Journal for Radiation Physics and Chemistry,00207055,,Inactive,1969-1976,,,,,Journal,Continued as,Radiation Physics and Chemistry,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
48,11800154306,International Journal of Mass Spectrometry and Ion Physics,00207381,,Inactive,1968-1983,,,,,Journal,Continued as,International Journal of Mass Spectrometry and Ion Processes,,,,Elsevier B.V.,Elsevier,,,,,,,,
49,12100154950,International Journal of Orthodontia and Dentistry for Children,00970522,,Inactive,1933-1935,,,,,Journal,Formerly known as,"International Journal of Orthodontia, Oral Surgery and Radiography",,,,Mosby Inc.,Elsevier,,,,,,,,
50,12100154939,"International Journal of Orthodontia, Oral Surgery and Radiography",00996963,,Inactive,1932; 1923-1930,,,,,Journal,Continued as,International Journal of Orthodontia and Dentistry for Children,,,,Mosby Inc.,Elsevier,,,,,,,,
51,12100155501,International Journal of Radiation Applications and Instrumentation. Part,13590197,,Inactive,1986-1993,,,,,Journal,Continued as,Radiation Physics and Chemistry,Radiation Physics and Chemistry,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
52,11800154315,International Journal of Tourism Management,01432516,,Inactive,1980-1981,,,,,Journal,Continued as,Tourism Management,,,,IPC Science & Technology Press,IPC Science & Technology Press,,,,,,,,
53,14500154726,Journal of Abnormal Psychology and Social Psychology,01452347,,Inactive,1921-1925,,,,,Journal,Continued as,Journal of Abnormal Psychology,Journal of Abnormal and Social Psychology,,,R.G. Badger,R.G. Badger,,,,,,,,
54,21100433299,Journal of Chemical Dependency Treatment,08854734,,Inactive,2006; 2002; 1995-1997; 1988-1993,,,,,Journal,Continued as,Journal of Dual Diagnosis,,,,Taylor and Francis Ltd.,Taylor & Francis,,,,,,,,
55,14500154721,Journal of Combinatorial Theory,00219800,,Inactive,1966-1970,,,,,Journal,Continued as,Journal of Combinatorial Theory. Series A,Journal of Combinatorial Theory. Series B,,,Academic Press Inc.,Elsevier,,,,,,,,
56,9900153201,Journal of Fermentation Technology,03856380,,Inactive,1986-1988,,,,,Journal,Continued as,Journal of Fermentation and Bioengineering,,,,Society of Fermentation Technology,Society of Fermentation Technology,,,,,,,,
57,11800154311,Journal of Inorganic and Nuclear Chemistry,00221902,,Inactive,1957-1981; 1955,,,,,Journal,Continued as,Polyhedron,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
58,9800153153,Journal of Magnetic Resonance (1969),00222364,15578968,Inactive,1969-1992,,,,,Journal,Continued as,Journal of Magnetic Resonance - Series A,Journal of Magnetic Resonance - Series B,,,Academic Press Inc.,Elsevier,,,,,,,,
59,12100154944,Journal of Nuclear Energy (1954),08913919,,Inactive,1954-1959,,,,,Journal,Continued as,Journal of Nuclear Energy. Part A. Reactor Science,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
60,12100154947,Journal of Nuclear Energy. Part A. Reactor Science,03683265,,Inactive,1959-1961,,,,,Journal,Continued as,Journal of Nuclear Energy (1954),Journal of Nuclear Energy. Parts A/B. Reactor Science and Technology,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
61,12100154952,Journal of Nuclear Energy. Parts A/B. Reactor Science and Technology,03683230,,Inactive,1961-1966,,,,,Journal,Continued as,Journal of Nuclear Energy. Part A. Reactor Science,Journal of Nuclear Energy,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
62,9800153115,Journal of Photochemistry,00472670,,Inactive,1993; 1972-1987,,,,,Journal,Continued as,Journal of Photochemistry and Photobiology B: Biology,Journal of Photochemistry and Photobiology A: Chemistry,,,Elsevier Sequoia,Elsevier,,,,,,,,
63,21101019266,Journal of Physical Sciences,,19366256,Inactive,2019,,,,,Journal,,,,,,Scientific Journals International,Scientific Journals International,,,,,,,,
64,14400154703,Journal of Products and Toxics Liability,09672680,,Inactive,1995,,,,,Journal,Formerly known as,Journal of Products Liability,,,,Pergamon Press,Elsevier,,,,,,,,
65,12100154943,Journal of The Faculty of Radiologists,03682242,,Inactive,1949-1959,,,,,Journal,Continued as,Clinical Radiology,,,,Elsevier B.V.,Elsevier,,,,,,,,
66,9700153241,Knowledge Acquisition,10428143,,Inactive,1989-1994,,,,,Journal,Incorporated into,International Journal of Human Computer Studies,,,,Academic Press,Elsevier,,,,,,,,
67,11800154313,Micron (1969),00477206,,Inactive,1969-1983,,,,,Journal,Continued as,Micron and Microscopica Acta,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
68,9900153301,Mutation Research DNA Repair Reports,01678817,,Inactive,1983-1988,,,,,Journal,Continued as,Mutation Research - DNA Repair,,,,Elsevier B.V.,Elsevier,,,,,,,,
69,9700153207,Neuroprotocols,10586741,1557797X,Inactive,1992-1994,,,,,Journal,Incorporated into,Methods,,,,Academic Press Inc.,Elsevier,,,,,,,,
70,9800153161,North American Review of Economics and Finance,1042752X,,Inactive,1990-1991,,,,,Journal,Continued as,North American Journal of Economics and Finance,,,,JAI Press,Elsevier,,,,,,,,
71,12100155002,Nuclear Data Sheets Section B,0090550X,,Inactive,1966-1970,,,,,Journal,Continued as,Nuclear Data Sheets,,,,Academic Press Inc.,Elsevier,,,,,,,,
72,12100154917,Nuclear Data Tables,00900214,,Inactive,1972; 1970,,,,,Journal,Continued as,Atomic Data and Nuclear Data Tables,,,,Academic Press Inc.,Elsevier,,,,,,,,
73,12100154946,Nuclear Instruments,0369643X,,Inactive,1957-1958,,,,,Journal,Continued as,Nuclear Instruments and Methods,,,,North-Holland Publ Co,Elsevier,,,,,,,,
74,12100154940,Nuclear Physics,00295582,18731546,Inactive,1956-1966,,,,,Journal,Continued as,Nuclear Physics B,Nuclear Physics A,,,North-Holland Publ Co,Elsevier,,,,,,,,
75,12100154818,Nuclear Track Detection,0145224X,,Inactive,1977-1978,,,,,Journal,Continued as,Nuclear Tracks,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
76,9800153104,Nuclear Tracks And Radiation Measurements (1993),09698078,,Inactive,1993,,,,,Journal,Continued as,Radiation Measurements,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
77,12100155001,Optics Technology,03743926,,Inactive,1970,,,,,Journal,Continued as,Optics and Laser Technology,,,,IPC Science & Technology Press,IPC Science & Technology Press,,,,,,,,
78,12100154820,"Pharmacology and Therapeutics, Part A: Chemotherapy, Toxicology and",03625478,,Inactive,1976-1978,,,,,Journal,Continued as,Pharmacology and Therapeutics,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
79,12100154949,Physics Letters,00319163,18732410,Inactive,1962-1966,,,,,Journal,Continued as,"Physics Letters, Section A: General, Atomic and Solid State Physics","Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",,,North-Holland Publ Co,Elsevier,,,,,,,,
80,11800154312,Physiological Plant Pathology,00484059,,Inactive,1982-1985; 1971-1980,,,,,Journal,Continued as,Physiological and Molecular Plant Pathology,,,,Academic Press,Elsevier,,,,,,,,
81,11800154301,Plant Science Letters,03044211,,Inactive,1973-1985,,,,,Journal,Continued as,Plant Science,,,,Elsevier B.V.,Elsevier,,,,,,,,
82,28692,Pogon sahoe yon'gu,1226072X,,Inactive,1995-1998,,,,,Journal,Formerly known as,"Pogon sahoe nonjip = Journal of population, health, and social welfare",,,,Han'guk Pogon Sahoe Yon'guwon,Han'guk Pogon Sahoe Yon'guwon,,,,,,,,
83,21100897196,Proceedings of the NIPR Symposium on Antarctic Meteorites. NIPR Symposium on Antarctic Meteorites,09145621,,Inactive,1995,,,,,Journal,Continued as,Antarctic Meteorite Research,,,,National Institute of Polar Research,National Institute of Polar Research,,,,,,,,
84,12100154945,Progress in Metal Physics,05028205,,Inactive,1958-1959; 1956; 1952-1954; 1949-1950,,,,,Journal,Continued as,Progress in Materials Science,,,,Butterworths Scientific Publications,Butterworths Scientific Publications,,,,,,,,
85,12100154823,Radiation Botany,00337560,,Inactive,1961-1975,,,,,Journal,Continued as,Environmental and Experimental Botany,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
86,9700153221,Ricerche Economiche,00355054,,Inactive,1993-1995,,,,,Journal,Continued as,Research in Economics,,,,"Instituto universitario Ca' Foscari Venezia, Laboratorio di economia politica","Instituto universitario Ca' Foscari Venezia, Laboratorio di economia politica",,,,,,,,
87,9800153158,Scandinavian International Business Review,09629262,,Inactive,1992,,,,,Journal,Continued as,International Business Review,,,,MCB University Press,MCB University Press,,,,,,,,
88,10000153402,Scandinavian Journal of Management Studies,02817527,,Inactive,1984-1987,,,,,Journal,Continued as,Scandinavian Journal of Management,,,,Doxa,Doxa,,,,,,,,
89,21100368203,"Second opinion (Chicago, Ill. : 1999)",,,Inactive,2004; 2001-2002,,,,,Journal,,,,,,Park Ridge Center,Park Ridge Center,,,,,,,,
90,9700153242,Seminars in Developmental Biology,10445781,,Inactive,1993-1995,,,,,Journal,Continued as,Seminars in Cell and Developmental Biology,,,,Saunders,Elsevier,,,,,,,,
91,5800174931,Studies in Comparative Communism,00393592,,Inactive,1968-1992,,,,,Journal,Continued as,Communist Affairs,Communist and Post-Communist Studies,,,Butterworth-Heinemann,Elsevier,,,,,,,,
92,9800153106,Surface Science Letters,01672584,,Inactive,1989-1993; 1980-1987,,,,,Journal,Incorporated into,Surface Science,,,,North-Holland Publ Co,Elsevier,,,,,,,,
93,14500154722,The British Journal of Animal Behaviour,09505601,,Inactive,1953-1957,,,,,Journal,Continued as,Animal Behaviour,,,,"Bailliere, Tindall and Cox",Elsevier,,,,,,,,
94,7600153115,The hospitalist,1553085X,,Inactive,1997-1999,,,,,Journal,,,,,,John Wiley & Sons Inc.,John Wiley & Sons,,,,,,,,
95,10000153301,Trait d'Union,09809090,,Inactive,1986-1988,,,,,Journal,Continued as,Immuno-Analyse et Biologie Specialisee,,,,Laboratoire de Radio Analyse,Laboratoire de Radio Analyse,,,,,,,,
