journal,value
Activitas Nervosa Superior,0
Activitas Nervosa Superior Rediviva,0
Actualidad Juridica Ambiental,0
Actualidades en Psicologia,1
Actuators,0
Actuel Marx,0
Acupuncture and Electro-Therapeutics Research,0
Ad Hoc Networks,0
Ada User Journal,0
Adalya,0
Adam Mickiewicz University Law Review,0
Adamantius,0
Adaptation,0
"Adaptation, Learning, and Optimization",1
Adaptive Behavior,1
Adaptive Human Behavior and Physiology,0
ADB Economics Working Paper Series,0
Addicta: the Turkish Journal on Addictions,0
Addiction Neuroscience,0
Addiction Science and Clinical Practice,0
Addictive Behaviors,0
Addictive Behaviors Reports,0
Additive Manufacturing,0
Additive Manufacturing Frontiers,0
Additive Manufacturing Letters,0
Additives for Polymers,0
Adelaide Law Review,0
Ademas de,0
ADHD Attention Deficit and Hyperactivity Disorders,0
Ad-Hoc and Sensor Wireless Networks,0
Adiyaman University Journal of Science,0
Administratie si Management Public,0
Administration,0
Administration and Society,0
Administration in Social Work,0
Administrative Law Review,0
Administrative Science Quarterly,0
Administrative Sciences,0
Administrative Theory and Praxis,0
Adolescent Research Review,0
Adolescents,0
Adoption and Fostering,0
Adoption Quarterly,0
Adult Education Quarterly,0
Adult Learning,0
Adults Learning Mathematics International Journal,0
Adultspan Journal,0
Advance Journal of Food Science and Technology,0
"Advance Sustainable Science, Engineering and Technology",0
Advanced Biology,0
Advanced Biomedical Engineering,0
Advanced Biosystems,0
Advanced Composite Materials,0
Advanced Composites Bulletin,0
Advanced Composites Letters,0
Advanced Control for Applications: Engineering and Industrial Systems,0
Advanced Devices and Instrumentation,0
Advanced Education,0
Advanced Electromagnetics,0
Advanced Engineering Informatics,1
Advanced Engineering Letters,0
Advanced Engineering Research (Rostov-on-Don),0
Advanced Healthcare Materials,0
Advanced Imaging,0
Advanced Industrial and Engineering Polymer Research,0
Advanced Information and Knowledge Processing,1
Advanced Information Systems,1
Advanced Intelligent Systems,1
"Advanced International Conference on Telecommunications, AICT",0
Advanced Manufacturing,0
Advanced Manufacturing: Polymer and Composites Science,0
Advanced Materials,0
Advanced Materials and Processes,0
Advanced Materials Interfaces,0
Advanced Materials Research,0
Advanced Materials Technologies,0
Advanced Mathematical Models and Applications,0
Advanced Modeling and Simulation in Engineering Sciences,0
Advanced NanoBiomed Research,0
Advanced Neurology,0
Advanced Nonlinear Studies,0
Advanced Photonics,0
Advanced Photonics Nexus,0
Advanced Powder Technology,0
Advanced Quantum Technologies,0
Advanced Robotics,1
Advanced Science,0
Advanced Science Letters,0
Advanced Sciences and Technologies for Security Applications,0
Advanced Series in Management,0
Advanced Series on Ocean Engineering,0
Advanced Steel Construction,0
Advanced Studies in Contemporary Mathematics (Kyungshang),0
Advanced Studies in Pure Mathematics,0
Advanced Studies in Theoretical and Applied Econometrics,0
Advanced Studies in Theoretical Physics,0
Advanced Studies: Euro-Tbilisi Mathematical Journal,0
Advanced Textbooks in Control and Signal Processing,0
Advanced Theory and Simulations,0
Advanced Topics in Science and Technology in China,0
Advances and Applications in Bioinformatics and Chemistry,0
Advances and Applications in Fluid Mechanics,0
Advances in (Im)politeness Studies,0
Advances in 21st Century Human Settlements,0
Advances in Accounting,0
Advances in Accounting Behavioral Research,0
Advances in Accounting Education: Teaching and Curriculum Innovations,0
Advances in Acoustics and Vibration,0
Advances in Adaptive Data Analysis,1
Advances in Aerodynamics,0
"Advances in African Economic, Social and Political Development",0
Advances in Aircraft and Spacecraft Science,0
Advances in Airline Economics,0
Advances in Applied Business Strategy,0
Advances in Applied Ceramics,0
Advances in Applied Clifford Algebras,0
Advances in Applied Energy,0
Advances in Applied Mathematics,0
Advances in Applied Mathematics and Mechanics,0
Advances in Applied Mechanics,0
Advances in Applied Probability,0
Advances in Appreciative Inquiry,0
Advances in Archaeological Practice,0
Advances in Artificial Intelligence and Machine Learning,1
Advances in Asian Human-Environmental Research,0
Advances in Astronautics Science and Technology,0
Advances in Austrian Economics,0
Advances in Autism,0
Advances in Bioinformatics,0
Advances in Biological Psychiatry,0
Advances in Bridge Engineering,0
Advances in Building Energy Research,0
Advances in Business and Management Forecasting,1
Advances in Business Marketing and Purchasing,1
Advances in Business Related Scientific Research Journal,1
Advances in Calculus of Variations,1
Advances in Cement Research,0
Advances in Child Development and Behavior,0
Advances in Civil Engineering,0
Advances in Civil Engineering Materials,0
Advances in Cognitive Psychology,1
Advances in Combinatorics,0
Advances in Communication and Swallowing,0
Advances in Complex Systems,1
Advances in Computational Design,1
Advances in Computational Mathematics,0
Advances in Computer Vision and Pattern Recognition,1
Advances in Computers,1
Advances in Concrete Construction,0
Advances in Consumer Research,0
Advances in Continuous and Discrete Models,0
"Advances in Culture, Tourism and Hospitality Research",0
Advances in Data Analysis and Classification,1
Advances in Decision Sciences,1
Advances in Developing Human Resources,1
Advances in Difference Equations,0
Advances in Differential Equations,0
Advances in Digital Education and Lifelong Learning,0
Advances in Distributed Computing and Artificial Intelligence Journal,1
Advances in Dynamical Systems and Applications,0
Advances in Early Education and Day Care,0
Advances in E-Business Research Series,0
Advances in Econometrics,0
"Advances in Education in Diverse Communities: Research, Policy and Praxis",0
Advances in Educational Administration,0
Advances in Electrical and Computer Engineering,1
Advances in Electrical and Electronic Engineering,1
Advances in Engineering Education,0
Advances in Engineering Software,1
"Advances in Entrepreneurship, Firm Emergence and Growth",0
Advances in Environmental Accounting and Management,0
Advances in Experimental Social Psychology,1
Advances in Financial Economics,0
Advances in Fixed Point Theory,0
Advances in Fuzzy Systems,1
Advances in Gender Research,0
Advances in Geo-Energy Research,0
Advances in Geometry,0
Advances in Global Leadership,1
Advances in Group Processes,1
Advances in Group Theory and Applications,0
Advances in Health Economics and Health Services Research,0
Advances in Health Sciences Education,0
Advances in Heat Transfer,0
Advances in Historical Sociolinguistics,0
Advances in Hospitality and Leisure,0
Advances in Hospitality and Tourism Research,0
Advances in Human-Computer Interaction,1
Advances in Imaging and Electron Physics,0
Advances in Industrial and Labor Relations,0
Advances in Industrial and Manufacturing Engineering,0
Advances in Industrial Control,1
Advances in Information Sciences and Service Sciences,1
Advances in Information Security,1
Advances in Intelligent and Soft Computing,1
Advances in Intelligent Systems and Computing,1
Advances in International Management,0
Advances in International Marketing,0
Advances in Japanese Business and Economics,0
Advances in Laboratory Medicine,0
Advances in Learning and Behavioral Disabilities,0
Advances in Librarianship,0
Advances in Library Administration and Organization,0
Advances in Life Course Research,0
Advances in Management Accounting,0
Advances in Manufacturing,0
Advances in Materials and Processing Technologies,0
Advances in Materials Science and Engineering,0
Advances in Mathematical Physics,0
Advances in Mathematical Sciences and Applications,0
Advances in Mathematics,0
Advances in Mathematics of Communications,0
Advances in Mathematics: Scientific Journal,0
Advances in Mechanical Engineering,0
Advances in Medical Education and Practice,0
Advances in Medical Sociology,0
Advances in Mergers and Acquisitions,0
Advances in Methods and Practices in Psychological Science,1
Advances in Military Geosciences,0
Advances in Military Technology,0
Advances in Modelling and Analysis A,0
Advances in Modelling and Analysis B,0
Advances in Modelling and Analysis C,0
Advances in Motivation and Achievement,1
Advances in Motivation Science,1
Advances in Multimedia,1
Advances in Nano Research,0
Advances in Natural and Applied Sciences,0
Advances in Natural and Technological Hazards Research,0
Advances in Natural Sciences: Nanoscience and Nanotechnology,0
Advances in Neurobiology,0
Advances in Neurodevelopmental Disorders,0
Advances in Neuroimmune Biology,0
Advances in Neurotoxicology,0
Advances in Nonlinear Analysis,0
Advances in Nonlinear Variational Inequalities,0
Advances in Operations Research,1
Advances in Operator Theory,0
Advances in OptoElectronics,0
Advances in Parallel Computing,1
Advances in Physiology Education,0
Advances in Positive Organizational Psychology,1
Advances in Power Electronics,0
Advances in Production Engineering and Management,0
Advances in Program Evaluation,0
Advances in Public Interest Accounting,0
Advances in Pure and Applied Mathematics,0
Advances in Race and Ethnicity in Education,0
Advances in Radio Science,0
Advances in Research on Russian Business and Management,0
Advances in Research on Teaching,0
Advances in School Mental Health Promotion,0
"Advances in Science and Engineering Technology International Conferences, ASET",0
Advances in Science and Technology Research Journal,1
"Advances in Science, Technology and Engineering Systems",1
"Advances in Science, Technology and Innovation",1
Advances in Simulation,1
Advances in Social Work,0
Advances in Southeast Asian Studies,0
Advances in Space Research,0
Advances in Spatial Science,0
Advances in Special Education,0
"Advances in Statistical Climatology, Meteorology and Oceanography",0
Advances in Strategic Management,1
Advances in Structural Engineering,0
Advances in Sustainability and Environmental Justice,0
Advances in Systems Science and Applications,1
Advances in Taxation,0
Advances in Technology Innovation,1
Advances in the Economic Analysis of Participatory and Labor-Managed Firms,0
Advances in the History of Rhetoric,0
Advances in the Study of Behavior,0
"Advances in the Study of Entrepreneurship, Innovation, and Economic Growth",0
Advances in the Theory of Nonlinear Analysis and its Applications,0
Advances in Theoretical and Mathematical Physics,0
Advances in Transdisciplinary Engineering,1
Advances in Transport Policy and Planning,0
Advances in Transportation Studies,0
Advances in Tribology,0
Advances in Vibration Engineering,0
Advancing Global Bioethics,0
Advancing Microelectronics,0
Advancing Women in Leadership Journal,0
Adversity and Resilience Science,0
Aegaeum,0
Aegyptus,0
AEM Education and Training,0
Aequationes Mathematicae,0
AERA Open,0
Aero Weaponry,0
Aeronautical Journal,0
Aerospace,0
Aerospace America,0
Aerospace Engineering and Manufacturing,0
Aerospace Science and Technology,0
Aerospace Series,0
Aerospace Systems,0
AES: Journal of the Audio Engineering Society,0
Aestimum,0
Aethiopica,0
AEU - International Journal of Electronics and Communications,0
Affective Science,1
Affilia - Feminist Inquiry in Social Work,0
Afghanistan,0
Afkar,0
Africa,0
Africa (Italy),0
Africa and Middle East Textiles,0
Africa Development/Afrique et Developpement,0
Africa Education Review,0
Africa Journal of Management,0
Africa Review,0
Africa Spectrum,0
Africa Today,0
Africa Yearbook,0
Africa-Europe Group for Interdisciplinary Studies,0
African Affairs,0
African American Review,0
African and Asian Studies,0
African and Black Diaspora,0
African Archaeological Review,0
African Arts,0
African Conflict and Peacebuilding Review,0
African Development Review,0
African Diaspora,0
African Dynamics,0
African Economic History,0
African Evaluation Journal,0
African Finance Journal,0
African Geographical Review,0
African Higher Education: Developments and Perspectives,0
African Historical Review,0
African Histories and Modernities,0
African History,0
African Human Mobility Review,0
African Human Rights Law Journal,0
African Human Rights Yearbook,0
African Identities,0
African Journal of Agricultural and Resource Economics,0
African Journal of Applied Research,0
African Journal of Business and Economic Research,0
African Journal of Economic and Management Studies,0
"African Journal of Food, Agriculture, Nutrition and Development",0
"African Journal of Hospitality, Tourism and Leisure",0
African Journal of International and Comparative Law,0
African Journal of Law and Justice System,0
African Journal of Legal Studies,0
African Journal of Library Archives and Information Science,0
"African Journal of Religion, Philosophy and Culture",0
"African Journal of Research in Mathematics, Science and Technology Education",0
"African Journal of Science, Technology, Innovation and Development",1
African Journal of Social Work,0
African Journalism Studies,0
African Multidisciplinary Tax Journal (AMTJ),0
African Natural History,0
African Renaissance,0
African Review (Tanzania),0
African Security,0
African Security Review,0
African Social Studies Series,0
African Sources for African History,0
African Studies,0
African Studies Quarterly,0
African Studies Review,0
African Yearbook of International Law/Annuaire Africain de Droit International,0
Africana Linguistica,0
Afrika Matematika,0
Afrika-Studiecentrum Series,0
Afrique Contemporaine,0
Afro-Asian Journal of Finance and Accounting,0
AFTE Journal,0
Afterall,0
"Agathon - International Journal of Architecture, Art and Design",0
AgBioForum,0
Age of Human Rights Journal,0
"Age, Culture, Humanities",0
Ageing and Society,0
Ageing International,0
Ageing Research Reviews,0
Agenda,0
Agenda Setting Journal,0
Aggression and Violent Behavior,0
Aggressive Behavior,0
Aging Brain,0
Aging Pathobiology and Therapeutics,0
"Aging, Neuropsychology, and Cognition",0
Agora - Papeles de Filosofia,0
Agrarian South,0
Agraris,0
Agrekon,0
Agri Centuriati,0
Agribusiness,0
Agricultural and Food Economics,0
Agricultural and Resource Economics,0
Agricultural and Resource Economics Review,0
Agricultural Commodities,0
Agricultural Economics (Czech Republic),0
Agricultural Economics (United Kingdom),0
Agricultural Engineering,0
Agricultural Engineering International: CIGR Journal,0
Agricultural Finance Review,0
Agricultural History,0
Agricultural History Review,0
Agriculture and Human Values,0
AgriEngineering,0
Agris On-line Papers in Economics and Informatics,0
Agroalimentaria,0
Agroecology and Sustainable Food Systems,0
Agua y Territorio,0
Ahkam: Jurnal Ilmu Syariah,0
AHURI Final Report,0
AHURI Positioning Paper,0
AI (Switzerland),1
AI and Society,1
AI Communications,1
AI in Civil Engineering,1
AI Magazine,1
AI Open,1
"Aibi, Revista de Investigacion Administracion e Ingenierias",0
AICCM Bulletin,0
AIDA Europe Research Series on Insurance Law and Regulation,0
AIDS and Behavior,0
AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,0
AIDS Education and Prevention,0
AIEL Series in Labour Economics,0
AIIB Yearbook of International Law,0
AILA Review,0
AIMS Bioengineering,0
AIMS Electronics and Electrical Engineering,0
AIMS Mathematics,0
AIMS Neuroscience,0
Ain Shams Engineering Journal,0
Air and Space Law,0
Air and Space Power Journal,0
Air and Space Power Review,0
Air Force Magazine,0
Aircraft Engineering and Aerospace Technology,0
Airline Business,0
AIRO Springer Series,1
AIS Transactions on Human-Computer Interaction,1
AIS Transactions on Replication Research,0
AIST Today (International Edition),0
Aisthesis (Italy),0
Aither,0
AIUB Journal of Science and Engineering,0
AJIL Unbound,0
AJOB Empirical Bioethics,0
AJOB Neuroscience,0
AJS Review,0
AKCE International Journal of Graphs and Combinatorics,0
Akkadica,0
Akropolis,0
Akroterion,0
Akzente,0
Al Abhath,0
Al-'Adalah,0
Al-Ahkam,0
Al-Ahkam: Jurnal Ilmu Syari'ah dan Hukum,0
Al-Ahwal,0
Alam Cipta,0
Al-'Arabiyya,0
Alaska Journal of Anthropology,0
AlBayan,0
Alberta Journal of Educational Research,0
Alcohol,0
Alcohol Research: Current Reviews,0
Alcoholism and Psychiatry Research,0
Alea,0
Aleph,0
Alexandria Engineering Journal,0
Alfred Nobel University Journal of Philology,0
Algebra and Discrete Mathematics,0
Algebra and Logic,0
Algebra and Number Theory,0
Algebra Colloquium,0
Algebra Universalis,0
Algebraic and Geometric Topology,0
Algebraic Combinatorics,0
Algebraic Geometry,0
Algebraic Structures and their Applications,0
Algebras and Representation Theory,0
Algorithmic Finance,0
Algorithmica,0
Algorithms,0
Algorithms for Molecular Biology,0
Alif,0
Al-Ihkam: Jurnal Hukum dan Pranata Sosial,0
Al-Istinbath: Jurnal Hukum Islam,0
Al-Jami'ah,0
Al-Khwarizmi Engineering Journal,0
All Azimuth,0
All Life,0
Alloys,0
Almanack,0
Al-Manahij: Jurnal Kajian Hukum Islam,0
Al-Masaq,0
Alpacas Australia,0
Alpine and Mediterranean Quaternary,0
Al-Qadisiyah Journal for Engineering Sciences,0
Al-Qantara,0
Al-Rafidain Engineering Journal,0
Al-Risalah: Forum Kajian Hukum dan Sosial Kemasyarakatan,0
Al-Shajarah,0
Alter,0
AlterNative,0
Alternative Law Journal,0
Alternatives,0
Alternatives Journal,0
ALT-J: Research in Learning Technology,0
Altorientalische Forschungen,0
Altre Modernita,0
Alzheimer Disease and Associated Disorders,0
Alzheimer's and Dementia,0
Alzheimer's Care Today,0
Alzheimer's Disease Research Journal,0
Alzheimer's Research and Therapy,0
AMA Journal of Ethics,0
"AMA, Agricultural Mechanization in Asia, Africa and Latin America",0
Ambiente e Sociedade,0
Ambio,0
Ambix,0
Amerasia Journal,0
America Latina en la Historia Economica,0
American and British Studies Annual,0
American Annals of the Deaf,0
American Anthropologist,0
American Antiquity,0
American Archivist,0
American Art,0
American Bankruptcy Law Journal,0
American Behavioral Scientist,1
American Biology Teacher,0
American Book Review,0
American Business Law Journal,0
American Business Review,0
American Catholic Philosophical Quarterly,0
American City and County,0
American Communication Journal,0
American Communist History,0
American Criminal Law Review,0
American Economic Journal: Applied Economics,1
American Economic Journal: Economic Policy,1
American Economic Journal: Macroeconomics,0
American Economic Journal: Microeconomics,0
American Economist,1
American Educational Research Journal,0
American Ethnologist,0
American Foreign Policy Interests,0
American Health and Drug Benefits,0
American Heritage,0
American Historical Review,0
American History,0
American Imago,0
American Indian and Alaska Native Mental Health Research,0
American Indian Culture and Research Journal,0
American Jewish History,0
American Journal of Agricultural Economics,1
American Journal of Alzheimer's Disease and other Dementias,0
American Journal of Archaeology,0
American Journal of Biological Anthropology,0
American Journal of Community Psychology,0
American Journal of Comparative Law,0
American Journal of Criminal Justice,0
American Journal of Cultural Sociology,0
American Journal of Distance Education,0
American Journal of Drug and Alcohol Abuse,0
American Journal of Economics and Sociology,1
American Journal of Education,0
American Journal of Engineering and Applied Sciences,0
American Journal of Evaluation,0
American Journal of Family Therapy,0
American Journal of Forensic Psychology,0
American Journal of Health Behavior,0
American Journal of Health Economics,1
American Journal of Health Education,0
American Journal of Health Promotion,0
American Journal of Human Biology,0
American Journal of International Law,0
American Journal of Islam and Society,0
American Journal of Jurisprudence,0
American Journal of Law and Medicine,0
American Journal of Legal History,0
American Journal of Mathematical and Management Sciences,0
American Journal of Mathematics,0
"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",0
American Journal of Men's Health,0
American Journal of Neurodegenerative Diseases,0
American Journal of Numismatics,0
American Journal of Orthopsychiatry,0
American Journal of Pharmaceutical Education,0
American Journal of Pharmacy Benefits,0
American Journal of Philology,0
American Journal of Physical Anthropology,0
American Journal of Political Science,1
American Journal of Psychoanalysis,0
American Journal of Psychology,1
American Journal of Psychotherapy,0
American Journal of Semiotics,0
American Journal of Sexuality Education,0
American Journal of Sociology,1
American Journal of Speech-Language Pathology,0
American Journal on Addictions,0
American Journal on Intellectual and Developmental Disabilities,0
American Journalism,0
American Law and Economics Review,1
American Literary History,0
American Literary Realism,0
American Literary Scholarship,0
American Literature,0
American Literature Readings in the 21st Century,0
American Mathematical Monthly,0
American Museum Novitates,0
American Music,0
American Nineteenth Century History,0
American Periodicals,0
American Philosophical Quarterly,0
American Poetry Review,0
American Political Science Review,1
American Political Thought,1
American Politics Research,1
American Printer,0
American Psychologist,1
American Quarterly,0
American Religion,0
American Review of Canadian Studies,0
American Review of Public Administration,1
American Scholar,0
American Sociological Review,1
American Sociologist,1
American Speech,0
American Statistician,1
American Studies in Scandinavia,0
American Translators Association Scholarly Monograph Series,0
"American, British and Canadian Studies",0
Americas,0
Amerikastudien,0
Amfiteater,0
Amirkabir Journal of Civil Engineering,0
Amoenitas,0
Ampersand,0
AMS Review,0
Amsterdam Studies in Classical Philology,0
Amsterdamer Beitrage zur Neueren Germanistik,0
Amyotrophic Lateral Sclerosis,0
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,0
Anadolu Arastirmalari,0
Anafora,0
Anais do Museu Paulista,0
Analecta Bollandiana,0
Analecta Hermeneutica,0
Analecta Hibernica,0
Analecta Praehistorica Leidensia,0
Analele Banatului: Arheologie - Istorie,0
Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Matematica,0
Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Sectiunea Stiinte Economice,0
"Analele Stiintifice ale Universitatii Ovidius Constanta, Seria Matematica",0
"Analele Universitatii din Bucuresti, Seria Stiinte Politice",0
"Analele Universitatii din Craiova, Seria Filozofie",0
"Analele Universitatii Ovidius Constanta, Seria Filologie",0
Anales de Arqueologia Cordobesa,0
Anales de Historia del Arte,0
Anales de Investigacion en Arquitectura,0
Anales de la Catedra Francisco Suarez,0
Anales de la Literatura Espanola Contemporanea,0
Anales de Psicologia,0
Anales del Seminario de Historia de la Filosofia,0
Anali Pravnog Fakulteta u Beogradu,0
Analise Social,0
Analisi,0
Analisi Linguistica e Letteraria,0
Analog Circuits and Signal Processing,0
Analog Integrated Circuits and Signal Processing,0
Analyse und Kritik,0
Analyses of Social Issues and Public Policy,0
Analysis (Germany),0
Analysis and Applications,0
Analysis and Geometry in Metric Spaces,0
Analysis and Mathematical Physics,0
