journal,label
Australian Psychologist,0
Australian Review of Applied Linguistics,0
Australian Slavonic and East European Studies,0
Australian Social Work,0
Australian Universities Review,0
Australian Year Book of International Law,0
Austrian Journal of Statistics,1
Automated Software Engineering,1
Automatic Control and Computer Sciences,1
Automatica,1
Automatika,1
Automation,1
Automation and Remote Control,1
Automation in Construction,1
Automotive Industries AI,1
Autonomous Agents and Multi-Agent Systems,1
Autonomous Intelligent Systems,1
Autonomous Robots,1
Axioms,0
Axon,0
Azafea,0
Azania,0
Azerbaijan Journal of Mathematics,0
B.E. Journal of Economic Analysis and Policy,0
B.E. Journal of Macroeconomics,0
B.E. Journal of Theoretical Economics,0
Babel,0
Babesch,0
Bach,0
Bakhtiniana,0
Baku State University Law Review,0
Balkan Journal of Geometry and its Applications,0
Balkan Journal of Philosophy,0
Balkan Social Science Review,0
Balkan Studies Library,0
Balkan Yearbook of European and International Law,0
Balkanistic Forum,0
Balkanistic Worlds,0
Balkanistica,0
Ballet Review,0
Ballettanz,0
Baltic Journal of Art History,0
Baltic Journal of Economics,0
"Baltic Journal of English Language, Literature and Culture",0
Baltic Journal of European Studies,0
Baltic Journal of Health and Physical Activity,0
Baltic Journal of Law and Politics,0
Baltic Journal of Management,0
Baltic Journal of Modern Computing,0
Baltic Journal of Road and Bridge Engineering,0
Baltic Linguistics,0
Baltic Region,0
Baltic Worlds,0
Baltic Yearbook of International Law,0
Bamboo and Silk,0
Banach Journal of Mathematical Analysis,0
Bandung: Journal of the Global South,0
Bangmod International Journal of Mathematical and Computational Science,0
Bank i Kredyt,0
Banking and Finance Review,0
Banking Law Journal,0
Banks and Bank Systems,0
Baptist Quarterly,0
BAR - Brazilian Administration Review,1
Barcelona Research Art Creation,0
Barekeng,0
Barnboken,0
Basal Ganglia,0
Basic and Applied Social Psychology,0
Basic and Clinical Neuroscience,0
Basic Income Studies,0
Batten-Corbet-Lucey Handbooks in Alternative Investments,0
Batteries,0
Batteries and Supercaps,0
Bauingenieur,0
Bauphysik,0
Bayesian Analysis,0
Bealoideas,0
Before Farming: The Archaeology and Anthropology of Hunter-Gatherers,0
Behavior Analyst,0
Behavior and Philosophy,0
Behavior Modification,0
Behavior Research Methods,0
Behavior Therapy,0
Behavioral and Brain Functions,0
Behavioral and Brain Sciences,0
Behavioral and Social Sciences Librarian,0
Behavioral Disorders,0
Behavioral Interventions,0
Behavioral Medicine,0
Behavioral Neuroscience,0
Behavioral Research in Accounting,0
Behavioral Science and Policy,0
Behavioral Sciences,0
Behavioral Sciences and the Law,0
Behavioral Sciences of Terrorism and Political Aggression,0
Behavioral Sleep Medicine,0
Behaviormetrika,0
Behaviour,0
Behaviour and Information Technology,0
Behaviour Change,0
Behaviour Research and Therapy,0
Behavioural and Cognitive Psychotherapy,0
Behavioural Brain Research,0
Behavioural Neurology,0
Behavioural Processes,0
Behavioural Public Policy,0
Beijing Gongye Daxue Xuebao / Journal of Beijing University of Technology,0
Beijing International Review of Education,0
Beilstein Journal of Nanotechnology,0
Beitrage zur Algebra und Geometrie,0
Beitrage zur Geschichte der Deutschen Sprache und Literatur,0
Beitrage zur Geschichte der Sprachwissenschaft,0
Beitrage zur Mittelalterarchaologie in Osterreich,0
BELGEO,0
Belgian Journal of Linguistics,0
Belgisch Tijdschrift voor Nieuwste Geschiedenis/ Revue Belge de Histoire Contemporaine,0
Bell Labs Technical Journal,0
Bellaterra Journal of Teaching and Learning Language and Literature,0
Belleten,0
BELLETEN Yearbook of Turkic Studies,0
Ben Jonson Journal,0
"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",0
Benchmarking,0
Benjamins Translation Library,0
Bereavement,0
Bereavement Care,0
Bericht der Romisch-Germanischen Kommission,0
Berichte Geographie und Landeskunde,0
Berkeley Planning Journal,0
Berliner Journal fur Soziologie,0
Bernard Shaw and His Contemporaries,0
Bernoulli,0
Bestuur,0
Beta,0
Better Roads,0
Beyond Behavior,0
Bezopasnost' Truda v Promyshlennosti,0
Bialostockie Studia Literaturoznawcze,0
Bialostockie Studia Prawnicze,0
Bible in Ancient Christianity,0
Biblia Arabica,0
Biblica,0
Biblica et Patristica Thoruniensia,0
Biblical Archaeology Review,0
Biblical Interpretation,0
Biblical Interpretation Series,0
Biblical Theology Bulletin,0
Biblioteca di Rassegna Iberistica,0
Bibliotekarz Podlaski,0
Bibliotheca Maqriziana,0
Bibliothecae.it,0
Biblische Notizen,0
Biblische Zeitschrift,0
BiD,0
Big Data,1
Big Data and Cognitive Computing,1
Big Data and Computing Visions,1
Big Data and Society,1
Big Data Mining and Analytics,1
Big Data Research,1
Big Earth Data,1
Bijdragen,0
"Bijdragen tot de Taal-, Land- en Volkenkunde",0
BiLD Law Journal,0
Bilgi Dunyasi,0
Bilingual Processing and Acquisition,0
Cuestiones Teologicas,0
Cuhso,0
Cultura,0
Cultura y Educacion,0
Cultura. International Journal of Philosophy of Culture and Axiology,0
Cultural and Social History,0
Cultural Anthropology,0
Cultural Critique,0
Cultural Diversity and Ethnic Minority Psychology,0
Cultural Dynamics,0
Cultural Dynamics of Science,0
Cultural geographies,0
Cultural History,0
Cultural Interactions in the Mediterranean,0
Cultural Intertexts,0
Cultural Management: Science and Education,0
Cultural Perspectives,0
Cultural Politics,0
Cultural Psychology of Education,0
Cultural Sociology,0
Cultural Studies,0
Cultural Studies - Critical Methodologies,0
Cultural Studies and Transdisciplinarity in Education,0
Cultural Studies of Science Education,0
Cultural Studies Review,0
Cultural Trends,0
Culturales,0
Cultural-Historical Psychology,0
Culture and Evolution,0
Culture and History Digital Journal,0
Culture and History of the Ancient Near East,0
Culture and Language Use,0
Culture and Organization,0
Culture and Psychology,0
Culture and Religion,0
Culture Crossroads,0
Culture Unbound,0
"Culture, Agriculture, Food and Environment",0
"Culture, Health and Sexuality",0
"Culture, Medicine and Psychiatry",0
"Culture, Practice and Europeanization",0
"Culture, Theory and Critique",0
Cumhuriyet Ilahiyat Dergisi,0
Cuneiform Monographs,0
Current Addiction Reports,0
Current Alzheimer Research,0
Current Anthropology,0
Current Behavioral Neuroscience Reports,0
Current Bioinformatics,0
Current Developmental Disorders Reports,0
Current Directions in Biomedical Engineering,0
Current Directions in Psychological Science,0
Current Eye Research,0
Current History,0
Current Issues in Auditing,0
Current Issues in Criminal Justice,0
Current Issues in Education,0
Current Issues in Language Planning,0
Current Issues in Linguistic Theory,0
Current Issues in Personality Psychology,0
Current Issues in Tourism,0
Current Journal of Neurology,0
Current Legal Problems,0
Current Nanomedicine,0
Current Nanoscience,0
Current Neurobiology,0
Current Neurology and Neuroscience Reports,0
Current Neuropharmacology,0
Current Neurovascular Research,0
Current Opinion in Behavioral Sciences,0
Current Opinion in Biomedical Engineering,0
Current Opinion in Biotechnology,0
Current Opinion in Environmental Sustainability,0
Current Opinion in Neurobiology,0
Current Opinion in Neurology,0
Current Opinion in Psychology,0
Current Opinion in Systems Biology,0
Current Perspectives in Social Theory,0
Current Protocols,0
Current Protocols in Mouse Biology,0
Current Protocols in Neuroscience,0
Current Psychology,0
"Current Psychology Letters: Behaviour, Brain and Cognition",0
Current Regenerative Medicine,0
Current Research in Behavioral Sciences,0
Current Research in Ecological and Social Psychology,0
Current Research in Neurobiology,0
Current Research in Social Psychology,0
Current Research in the Semantics/Pragmatics Interface,0
Current Sleep Medicine Reports,0
Current Sociology,0
Current Sustainable/Renewable Energy Reports,0
Current Swedish Archaeology,0
Current Topics in Behavioral Neurosciences,0
Current Treatment Options in Psychiatry,0
Current Writing,0
Currents of Encounter,0
Curriculum and Teaching,0
Curriculum Inquiry,0
Curriculum Journal,0
Curriculum Matters,0
Curriculum Perspectives,0
Curriculum Studies in Health and Physical Education,0
Curriculum Studies Worldwide,0
Curved and Layered Structures,0
Cutter Business Technology Journal,0
Cutter IT Journal,0
Cutting Tool Engineering,0
Cutting-Edge Technologies in Higher Education,0
Cyber Security and Applications,0
CyberGeo,0
Cybermetrics,0
Cybernetics and Information Technologies,0
Cybernetics and Physics,0
Cybernetics and Systems,0
Cybernetics and Systems Analysis,0
Cyber-Physical Systems,0
Cyberpsychology,0
"Cyberpsychology, Behavior, and Social Networking",0
Cybersecurity,0
Cyborg and Bionic Systems,0
Cypriot Journal of Educational Sciences,0
Cyprus Review,0
Cyprus Turkish Journal of Psychiatry and Psychology,0
CYTA - Journal of Food,0
Cytotechnology,0
Czas Kultury,0
Czech Economic Review,0
Elektronika ir Elektrotechnika,0
Handbook of Monetary Economics,0
"Humanities, Arts and Social Sciences Studies",0
International Journal of Informatics and Communication Technology,0
Journal of Psychosomatic Research,0
Journal of Psychotherapy Integration,0
Journal of Public Administration Research and Theory,0
Journal of Public Affairs,0
Journal of Public Affairs Education,0
Journal of Public and International Affairs,0
Journal of Public and Nonprofit Affairs,0
"Journal of Public Budgeting, Accounting and Financial Management",0
Journal of Public Child Welfare,0
Journal of Public Deliberation,0
Journal of Public Economic Theory,0
Journal of Public Economics,0
Journal of Public Finance and Public Choice,0
Journal of Public Health and Development,0
Journal of Public Interest Communications,0
Journal of Public Policy,0
Journal of Public Policy and Marketing,0
Journal of Public Procurement,0
Journal of Public Relations Research,0
Journal of Public Transportation,0
Journal of Pulp and Paper Science,0
Journal of Punjab Studies,0
Journal of Purchasing and Supply Management,0
Journal of Pure and Applied Algebra,0
Journal of Qualitative Research in Health Science,0
Journal of Qualitative Research in Tourism,0
Journal of Quality,0
Journal of Quality and Reliability Engineering,0
Journal of Quality Assurance in Hospitality and Tourism,0
Journal of Quality in Maintenance Engineering,0
Journal of Quality Measurement and Analysis,0
Journal of Quality Technology,0
Journal of Quantitative Analysis in Sports,0
Journal of Quantitative Criminology,0
Journal of Quantitative Economics,0
Journal of Quantitative Linguistics,0
Journal of Quaternary Science,0
Journal of Qur'anic Studies,0
Journal of Race Ethnicity and the City,0
"Journal of Race, Ethnicity and Politics",0
Journal of Racial and Ethnic Health Disparities,0
Journal of Radars,0
Journal of Radio and Audio Media,0
Journal of Rail Transport Planning and Management,0
Journal of Railway Science and Engineering,0
Journal of Rational - Emotive and Cognitive - Behavior Therapy,0
Journal of Real Estate Finance and Economics,0
Journal of Real Estate Literature,0
Journal of Real Estate Portfolio Management,0
Journal of Real Estate Practice and Education,0
Journal of Real Estate Research,0
Journal of Real-Time Image Processing,0
Journal of Reformed Theology,0
Journal of Refrigeration,0
Journal of Refugee Studies,0
Journal of Regional Analysis and Policy,0
Journal of Regional and City Planning,0
Journal of Regional Science,0
Journal of Regional Security,0
Journal of Regulatory Economics,0
Journal of Rehabilitation in Civil Engineering,0
Journal of Reinforced Plastics and Composites,0
Journal of Relationship Marketing,0
Journal of Relationships Research,0
Journal of Reliability and Statistical Studies,0
Journal of Reliable Intelligent Environments,0
Journal of Religion,0
Journal of Religion and Demography,0
Journal of Religion and Health,0
Journal of Religion and Popular Culture,0
Journal of Religion and Spirituality in Social Work,0
Journal of Religion and Violence,0
Journal of Religion in Africa,0
Journal of Religion in Europe,0
Journal of Religion in Japan,0
"Journal of Religion, Disability and Health",0
"Journal of Religion, Media and Digital Culture",0
"Journal of Religion, Spirituality and Aging",0
Journal of Religious and Theological Information,0
Journal of Religious Ethics,0
Journal of Religious History,0
Journal of Remanufacturing,0
Journal of Remote Sensing (United States),0
Journal of Renewable Energies,0
Journal of Renewable Energy and Environment,0
Journal of Renewable Energy and Smart Grid Technology,0
Journal of Reports in Pharmaceutical Sciences,0
Journal of Reproductive and Infant Psychology,0
Journal of Research Administration,0
Journal of Research and Applications in Mechanical Engineering,0
Journal of Research and Practice in Information Technology,0
Journal of Research in Applied Linguistics,0
Journal of Research in Childhood Education,0
Journal of Research in Crime and Delinquency,0
Journal of Research in Education Sciences,0
Journal of Research in Gender Studies,0
Journal of Research in Innovative Teaching and Learning,0
Journal of Research in Interactive Marketing,0
Journal of Research in International Education,0
Journal of Research in Marketing and Entrepreneurship,0
Journal of Research in Music Education,0
Journal of Research in Personality,0
Journal of Research in Reading,0
Journal of Research in Science Teaching,0
Journal of Research in Special Educational Needs,0
Journal of Research of the National Institute of Standards and Technology,0
Journal of Research on Adolescence,0
Journal of Research on Christian Education,0
Journal of Research on Educational Effectiveness,0
Journal of Research on History of Medicine,0
Journal of Research on Leadership Education,0
Journal of Research on Technology in Education,0
Journal of Research Practice,0
"Journal of Research, Innovation and Technologies",0
Journal of Responsible Innovation,0
Journal of Responsible Technology,0
Journal of Retail and Leisure Property,0
Journal of Retailing,0
Journal of Retailing and Consumer Services,0
Journal of Retirement,0
Journal of Revenue and Pricing Management,0
Journal of Reviews on Global Economics,0
Journal of Rheology,0
Journal of Risk,0
Journal of Risk Analysis and Crisis Response,0
Journal of Risk and Financial Management,0
Journal of Risk and Insurance,0
Journal of Risk and Uncertainty,0
Journal of Risk Finance,0
Journal of Risk Management in Financial Institutions,0
Journal of Risk Model Validation,1
Journal of Risk Research,0
Journal of Road Engineering,0
Journal of Road Safety,0
Journal of Robotics,0
Journal of Robotics and Control (JRC),0
Journal of Robotics and Mechatronics,0
"Journal of Robotics, Networking and Artificial Life",0
Journal of Roman Archaeology,0
Journal of Roman Studies,0
Journal of Romance Studies,0
Journal of Romanian Studies,0
Journal of Rural Co-operation,0
Journal of Rural Development,0
Journal of Rural Studies,0
Journal of Russian Laser Research,0
Journal of Safety Research,0
Journal of Safety Science and Resilience,0
Journal of Sailing Technology,0
Journal of Sandwich Structures and Materials,0
Journal of Scandinavian Cinema,0
Journal of Scandinavian Studies in Criminology and Crime Prevention,0
Journal of Scheduling,0
Journal of Scholarly Publishing,0
Journal of School Administration Research and Development,0
Journal of School Choice,0
Journal of School Health,0
Journal of School Psychology,0
Journal of School Violence,0
Journal of Science and Technology in the Tropics,0
Journal of Science and Technology of the Arts,0
Journal of Science and Technology Policy in China,0
Journal of Science and Technology Policy Management,0
Journal of Science Communication,0
Journal of Science Education,0
Journal of Science Education and Technology,0
Journal of Science Teacher Education,0
Journal of Scientific Computing,0
Journal of Scientometric Research,0
Journal of Scottish Historical Studies,0
Journal of Scottish Philosophy,0
Journal of Screenwriting,0
Journal of Second Language Pronunciation,0
Journal of Second Language Studies,0
Journal of Second Language Writing,0
Journal of Security and Sustainability Issues,0
Journal of Self-Governance and Management Economics,0
Journal of Semantics,0
Journal of Semiconductor Technology and Science,0
Journal of Semiconductors,0
Journal of Semitic Studies,0
Journal of Sensor and Actuator Networks,0
Journal of Sensor Science and Technology,0
Journal of Sensors,0
Journal of Sensors and Sensor Systems,0
Journal of Sensory Studies,0
Journal of Septuagint and Cognate Studies,0
Journal of Service Management,0
Journal of Service Research,0
Journal of Service Theory and Practice,0
Journal of Services Marketing,0
Journal of Settlements and Spatial Planning,0
Journal of Sex and Marital Therapy,0
Journal of Sex Research,0
Journal of Sexual Aggression,0
Journal of Sexual and Mental Health,0
Journal of Sexual Medicine,0
Journal of Shanghai University,0
Journal of Shi'a Islamic Studies,0
Journal of Ship Production,0
Journal of Ship Production and Design,0
Journal of Ship Research,0
Journal of Shipping and Trade,0
Journal of Siberian Federal University - Humanities and Social Sciences,0
Journal of Siberian Federal University - Mathematics and Physics,0
Journal of Signal Processing Systems,0
Journal of Simulation,0
Journal of Sindhi Studies,0
Journal of Singularities,0
Journal of Sistan and Baluchistan Studies,0
Journal of Skyscape Archaeology,0
Journal of Slavic Linguistics,0
Journal of Slavic Military Studies,0
Journal of Sleep Research,0
Journal of Small Business and Enterprise Development,0
Journal of Small Business Management,0
Journal of Small Business Strategy,0
Journal of Social and Clinical Psychology,0
Journal of Social and Economic Development,0
Journal of Social and Personal Relationships,0
Journal of Social and Political Psychology,0
Journal of Social Archaeology,0
Journal of Social Computing,0
Journal of Social Development in Africa,0
Journal of Social Distress and the Homeless,0
Journal of Social Economics Research,0
Journal of Social Entrepreneurship,0
Journal of Social History,0
Journal of Social Inclusion,0
Journal of Social Issues,0
Journal of Social Marketing,0
Journal of Social Ontology,0
Journal of Social Philosophy,0
Journal of Social Policy,0
Journal of Social Psychology,0
Journal of Social Research and Policy,0
Journal of Social Science Education,0
Journal of Social Sciences Research,0
Journal of Social Service Research,0
Journal of Social Structure,0
Journal of Social Studies Education Research,0
Journal of Social Studies Research,0
Journal of Social Welfare and Family Law,0
Journal of Social Work Education,0
Journal of Social Work in Disability and Rehabilitation,0
Journal of Social Work in End-of-Life and Palliative Care,0
Journal of Social Work Practice,0
Journal of Social Work Practice in the Addictions,0
"Journal of Social, Evolutionary, and Cultural Psychology",0
"Journal of Social, Political, and Economic Studies",0
Journal of Socio-Economics,0
Journal of Sociolinguistics,0
Journal of Sociology,0
Journal of Sociology and Social Anthropology,0
Journal of Sociology and Social Welfare,0
Journal of Soft Computing and Data Mining,0
Journal of Soft Computing in Civil Engineering,0
Journal of Software,0
Journal of Software Engineering,0
Journal of Software for Algebra and Geometry,0
Journal of Software Maintenance and Evolution,0
Journal of Software: Evolution and Process,0
Journal of Solar Energy Research,0
Journal of Solid Mechanics,0
Journal of Solid State Electrochemistry,0
Journal of Somaesthetics,0
Journal of Somali Studies,0
Journal of Song-Yuan Studies,0
Journal of Sound and Music in Games,0
Journal of Sound and Vibration,0
Journal of South Asian Development,0
Journal of South Pacific Law,0
Journal of Southeast Asian American Education and Advancement,0
Journal of Southeast Asian Economies,0
Journal of Southeast Asian Human Rights,0
Journal of Southeast Asian Studies,0
Journal of Southeast University (English Edition),0
Journal of Southern African Studies,0
Journal of Southern History,0
Journal of Space Safety Engineering,0
Journal of Spacecraft and Rockets,0
Journal of Spacecraft Technology,0
Journal of Spanish Cultural Studies,0
Journal of Spanish Language Teaching,0
Journal of Spatial Information Science,0
Journal of Spatial Science,0
Journal of Special Education and Rehabilitation,0
Journal of Special Education Leadership,0
Journal of Special Education Technology,0
Journal of Spectral Theory,0
Journal of Speculative Philosophy,0
"Journal of Speech, Language, and Hearing Research",0
Journal of Spiritual Formation and Soul Care,0
Journal of Statistical Computation and Simulation,1
Journal of Statistical Distributions and Applications,1
Journal of Statistical Mechanics: Theory and Experiment,1
Journal of Statistical Physics,1
Journal of Statistical Planning and Inference,1
Journal of Statistical Research,1
Journal of Statistical Software,1
Journal of Statistical Theory and Applications,1
Journal of Statistical Theory and Practice,1
Journal of Statistics and Data Science Education,1
Journal of Statistics Applications and Probability,1
Journal of Statistics Education,1
Journal of Stochastic Analysis,1
Journal of Substance Use,0
Journal of Sufi Studies,0
Journal of Supercomputing,0
Journal of Supply Chain Management,0
Journal of Surgical Education,0
Journal of Survey Statistics and Methodology,0
Journal of Sustainability Research,1
Journal of Sustainability Science and Management,1
Journal of Sustainable Agriculture,1
Journal of Sustainable Architecture and Civil Engineering,1
Journal of Sustainable Competitive Intelligence,1
Journal of Sustainable Construction Materials and Technologies,1
Journal of Sustainable Development Law and Policy,1
Journal of Sustainable Finance and Investment,1
Journal of Sustainable Marketing,1
Journal of Sustainable Metallurgy,1
Journal of Sustainable Real Estate,1
Journal of Sustainable Tourism,1
Journal of Symbolic Computation,0
Journal of Symbolic Logic,0
Journal of Symplectic Geometry,0
Journal of System and Management Sciences,0
Journal of Systems and Information Technology,0
Journal of Systems and Software,0
Journal of Systems Architecture,0
Journal of Systems Engineering and Electronics,0
Journal of Systems Science and Complexity,0
Journal of Systems Science and Information,0
Journal of Systems Science and Systems Engineering,0
Journal of Taibah University for Science,0
"Journal of Targeting, Measurement and Analysis for Marketing",0
Journal of Tax Reform,0
Journal of Taxation,0
Journal of Teacher Education,0
Journal of Teacher Education for Sustainability,1
Journal of Teaching and Learning,0
Journal of Teaching and Learning for Graduate Employability,0
Journal of Teaching English for Specific and Academic Purposes,0
Journal of Teaching in International Business,0
Journal of Teaching in Physical Education,0
Journal of Teaching in Social Work,0
Journal of Technology and Chinese Language Teaching,0
Journal of Technology and Science Education,0
Journal of Technology Education,0
Journal of Technology in Behavioral Science,0
Journal of Technology in Human Services,0
Journal of Technology Management and Innovation,0
Journal of Technology Transfer,0
"Journal of Technology, Learning, and Assessment",0
"Journal of Technology, Management, and Applied Engineering",0
"Journal of Telecommunication, Electronic and Computer Engineering",0
Journal of Telecommunications and Information Technology,0
Journal of Telecommunications and the Digital Economy,0
Journal of the Association for Information Science and Technology,1
Journal of the Association for Information Systems,1
Journal of the Association for Mathematical Research,0
Journal of the Association for Music and Imagery,0
Journal of the Association of Arab Universities for Basic and Applied Sciences,0
Journal of the Association of Environmental and Resource Economists,0
Journal of the Astronautical Sciences,0
Journal of the Australasian Tax Teachers Association,0
Journal of the Australian and New Zealand Student Services Association,0
Journal of the Australian Early Medieval Association,0
Journal of the Australian Library and Information Association,0
Journal of the Australian Mathematical Society,0
Journal of the Balkan Tribological Association,0
Journal of the Brazilian Computer Society,0
Journal of the Brazilian Society of Mechanical Sciences and Engineering,0
Journal of the British Academy,0
Journal of the British Archeological Association,0
Journal of the British Society for Phenomenology,0
Journal of the Bulgarian Geographical Society,0
Journal of the Canadian Health Libraries Association,0
Journal of the Chinese Institute of Civil and Hydraulic Engineering,0
"Journal of the Chinese Institute of Engineers, Transactions of the Chinese Institute of Engineers,Series A/Chung-kuo Kung Ch'eng Hsuch K'an",0
Journal of the Chinese Institute of Industrial Engineers,0
"Journal of the Chinese Society of Mechanical Engineers, Transactions of the Chinese Institute of Engineers, Series C/Chung-Kuo Chi Hsueh Kung Ch'eng Hsuebo Pao",0
Journal of the Civil War Era,0
Journal of the Copyright Society of the U.S.A.,0
Journal of the Early Book Society,0
Journal of the Early Republic,0
Journal of the Economic and Social History of the Orient,0
Journal of the Economics of Ageing,0
Journal of the Energy Institute,0
Journal of the European Economic Association,0
Journal of the European Mathematical Society,0
Journal of the European Pentecostal Theological Association,0
Journal of the Experimental Analysis of Behavior,0
Journal of the Franklin Institute,0
Journal of the General Union of Arab Archaeologists,0
Journal of the Geographical Institute Jovan Cvijic SASA,0
Journal of the Gilded Age and Progressive Era,0
Journal of the Global Power and Propulsion Society,0
Journal of the Historical Society,0
Journal of the History of Analytical Philosophy,0
Journal of the History of Biology,0
Journal of the History of Collections,0
Journal of the History of Economic Thought,0
Journal of the History of Ideas,0
Journal of the History of International Law,0
Journal of the History of Medicine and Allied Sciences,0
Journal of the History of Philosophy,0
Journal of the History of Sexuality,0
Journal of the History of the Behavioral Sciences,0
Journal of the History of the Neurosciences,0
Journal of the IEST,0
Journal of the Illuminating Engineering Institute of Japan (Shomei Gakkai Shi),0
Journal of the Indian Academy of Applied Psychology,0
Journal of the Indian Mathematical Society,0
Journal of the Indian Ocean Region,0
Journal of the Indian Society for Probability and Statistics,0
Journal of the Indian Society of Remote Sensing,0
Journal of the Indian Statistical Association,0
Journal of the Indonesian Mathematical Society,0
Journal of the Institute of Conservation,0
Journal of the Institute of Image Electronics Engineers of Japan,0
Journal of the Institute of Mathematics of Jussieu,0
Journal of the Institute of Telecommunications Professionals,0
"Journal of the Institution of Engineers (India), Part CP: Computer Engineering Division",0
"Journal of the Institution of Engineers (India), Part MM: Metallurgy and Material Science Division",0
"Journal of the Institution of Engineers (India), Part MR: Marine Engineering Division",0
"Journal of the Institution of Engineers (India), Part PR: Production Engineering Division",0
"Journal of the Institution of Engineers (India), Part TX: Textile Engineering Division",0
Journal of the Institution of Engineers (India): Aerospace Engineering Journal,0
Journal of the Institution of Engineers (India): Agricultural Engineering Division,0
Journal of the Institution of Engineers (India): Architectural Engineering Division,0
Journal of the Institution of Engineers (India): Civil Engineering Division,0
Journal of the Institution of Engineers (India): Electrical Engineering Division,0
Journal of the Institution of Engineers (India): Mechanical Engineering Division,0
Journal of The Institution of Engineers (India): Series A,0
Journal of The Institution of Engineers (India): Series B,0
Journal of The Institution of Engineers (India): Series C,0
Journal of The Institution of Engineers (India): Series D,0
Journal of The Institution of Engineers (India): Series E,0
Journal of the Institution of Engineers. India. Mining Engineering Division,0
Journal of the International Academy for Case Studies,0
Journal of the International Association for Shell and Spatial Structures,0
Journal of the International Council for Small Business,0
Journal of the International Neuropsychological Society,0
Journal of the International Phonetic Association,0
Journal of the Iranian Mathematical Society,0
Journal of the Iranian Statistical Society,0
Journal of the Japan Society for Technology of Plasticity,0
Journal of the Japanese and International Economies,0
Journal of the Knowledge Economy,0
Journal of the Korea Concrete Institute,0
Journal of the Korean Mathematical Society,0
Journal of the Korean Society for Aeronautical and Space Sciences,0
Journal of the Korean Society of Clothing and Textiles,0
Journal of the Korean Statistical Society,0
Journal of the Korean Wood Science and Technology,0
Journal of the Learning Sciences,0
Journal of the London Mathematical Society,0
Journal of the Magnetics Society of Japan,0
Journal of the Malaysian Branch of the Royal Asiatic Society,0
Journal of the Mathematical Society of Japan,0
Journal of the Mechanical Behavior of Biomedical Materials,0
Journal of the Mechanical Behavior of Materials,0
Journal of the Mechanics and Physics of Solids,0
Journal of the Medical Library Association,0
Journal of the Middle East and Africa,0
Journal of the Midwest Modern Language Association,0
Journal of the Mine Ventilation Society of South Africa,0
Journal of the Musical Arts in Africa,0
Journal of the National Academy of Forensic Engineers,0
Journal of the National Academy of Legal Sciences of Ukraine,0
Journal of the National Institute of Information and Communications Technology,0
Journal of the Neurological Sciences,0
Journal of the New England Water Works Association,0
Journal of the Nigerian Society of Physical Sciences,0
Journal of the North Atlantic,0
Journal of the Operational Research Society,1
Journal of the Operations Research Society of China,1
Journal of the Operations Research Society of Japan,1
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",0
Journal of the Ottoman and Turkish Studies Association,0
Journal of the Peripheral Nervous System,0
Journal of the Philosophy of History,0
Journal of the Philosophy of Sport,0
Journal of the Polynesian Society,0
