,Top Level,Primary Level,Secondary Level,Full Title,ISSN,Unformatted ISSN,Product ID,Status,Change History
7629,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Human-Computer Studies,1071-5819,10715819,12608,Active,Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition
7630,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Intelligent Networks,2666-6030,26666030,30392,Active,
7631,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Journal of Automation and Intelligence,2949-8554,29498554,31565,Active,
7632,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Journal of Information and Intelligence,2949-7159,29497159,31493,Active,
7633,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Journal of Responsible Technology,2666-6596,26666596,30406,Active,
7635,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Knowledge-Based Systems,0950-7051,09507051,05293,Active,
7636,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Machine Learning with Applications,2666-8270,26668270,30455,Active,
7638,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Natural Language Processing Journal,2949-7191,29497191,31494,Active,
7639,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Neural Networks,0893-6080,08936080,00841,Active,
7640,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Neurocomputing,0925-2312,09252312,05301,Active,
7747,Physical Sciences and Engineering,Computer Science,Computer Science (General),Applied Computing and Informatics,2210-8327,22108327,08742,Transferred,Transferred back to the society as of 2020
7754,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computer Methods and Programs in Biomedicine,0169-2607,01692607,08010,Active,Formerly known as Computer Programs in Biomedicine
7755,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computer Science Review,1574-0137,15740137,14035,Active,
7756,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computers & Mathematics with Applications,0898-1221,08981221,00301,Active,
7757,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computers & Operations Research,0305-0548,03050548,00300,Active,Incorporating Location Science and Surveys in Operations Research and Management Science
7759,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computing Systems in Engineering,0956-0521,09560521,02000,Incorporated,Incorporated into Advances in Engineering Software
7761,Physical Sciences and Engineering,Computer Science,Computer Science (General),Design and Artificial Intelligence,3050-7413,30507413,32094,Active,
7770,Physical Sciences and Engineering,Computer Science,Computer Science (General),European Journal of Operational Research,0377-2217,03772217,05369,Active,
7771,Physical Sciences and Engineering,Computer Science,Computer Science (General),Future Generation Computer Systems,0167-739X,0167739X,05273,Active,
7774,Physical Sciences and Engineering,Computer Science,Computer Science (General),Informatics in Medicine Unlocked,2352-9148,23529148,18129,Active,
7775,Physical Sciences and Engineering,Computer Science,Computer Science (General),Intelligent Systems with Applications,2667-3053,26673053,18477,Active,
7787,Physical Sciences and Engineering,Computer Science,Computer Science (General),Operations Research Perspectives,2214-7160,22147160,17040,Active,
7789,Physical Sciences and Engineering,Computer Science,Computer Science (General),Procedia Computer Science,1877-0509,18770509,08677,Active,
7794,Physical Sciences and Engineering,Computer Science,Computer Science (General),Sustainable Computing: Informatics and Systems,2210-5379,22105379,12935,Active,
7798,Physical Sciences and Engineering,Computer Science,Computer Science Applications,AI Open,2666-6510,26666510,30405,Active,
7799,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Applied Soft Computing,1568-4946,15684946,05434,Active,
7801,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Artificial Intelligence in the Life Sciences,2667-3185,26673185,31151,Active,
7804,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Big Data Research,2214-5796,22145796,07502,Active,
7814,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Computers in Biology and Medicine,0010-4825,00104825,00351,Active,
7815,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Computers and Biomedical Research,0010-4809,00104809,12017,Changed Name,Continued as Journal of Biomedical Informatics
7821,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Computers in Human Behavior,0747-5632,07475632,00759,Active,
7822,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Computers in Industry,0166-3615,01663615,05365,Active,
7823,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Computers & Security,0167-4048,01674048,02069,Active,
7825,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Computing Systems in Engineering,0956-0521,09560521,02000,Incorporated,Incorporated into Advances in Engineering Software
7826,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Cyber Security and Applications,2772-9184,27729184,31379,Active,
7827,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Digital Investigation,1742-2876,17422876,04064,Changed Name,Continued as Forensic Science International: Digital Investigation
7831,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Expert Systems with Applications,0957-4174,09574174,00939,Active,
7832,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Expert Systems with Applications: X,2590-1885,25901885,18477,Active,
7834,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Forensic Science International: Digital Investigation,2666-2817,26662817,04064,Active,Formerly known as Digital Investigation
7835,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Future Generation Computer Systems,0167-739X,0167739X,05273,Active,
7836,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Fuzzy Sets and Systems,0165-0114,01650114,05371,Active,
7837,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Healthcare,2213-0764,22130764,14138,Active,
7838,Physical Sciences and Engineering,Computer Science,Computer Science Applications,High-Confidence Computing,2667-2952,26672952,31164,Active,
7842,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Informatics and Health,2949-9534,29499534,31621,Active,
7843,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Information Processing & Management,0306-4573,03064573,00244,Active,Formerly known as Information Storage and Retrieval
7844,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Information Sciences,0020-0255,00200255,07669,Active,Incorporating Information Sciences - Applications
7845,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Information Sciences - Applications,1069-0115,10690115,07669,Incorporated,Incorporated into Information Sciences
7846,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Information Security Technical Report,1363-4127,13634127,02199,Changed Name,Continued as Journal of Information Security and Applications
7847,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Information Systems,0306-4379,03064379,00236,Active,
7849,Physical Sciences and Engineering,Computer Science,Computer Science Applications,International Journal of Approximate Reasoning,0888-613X,0888613X,07662,Active,
7851,Physical Sciences and Engineering,Computer Science,Computer Science Applications,International Journal of Critical Infrastructure Protection,1874-5482,18745482,08628,Active,
7852,Physical Sciences and Engineering,Computer Science,Computer Science Applications,International Journal of Medical Informatics,1386-5056,13865056,08024,Active,Formerly known as International Journal of Bio-Medical Computing
7853,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Internet of Things and Cyber-Physical Systems,2667-3452,26673452,31174,Active,
7854,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Journal of the American Medical Informatics Association,1067-5027,10675027,14014,Transferred,Transferred to the BMJ Publishing Group as of 2010
7855,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Journal of Biomedical Informatics,1532-0464,15320464,12017,Active,Formerly known as Computers and Biomedical Research
7859,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Journal of Information Security and Applications,2214-2126,22142126,02199,Active,Formerly known as Information Security Technical Report
7865,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Journal of Systems and Software,0164-1212,01641212,07735,Active,
7867,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Machine Learning with Applications,2666-8270,26668270,30455,Active,
7869,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Network Security,1353-4858,13534858,02158,Transferred,Transferred to Mark Allen Group as of 2022
7874,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Pervasive and Mobile Computing,1574-1192,15741192,05505,Active,
7878,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Smart Health,2352-6483,23526483,18861,Active,
7879,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Soft Computing Letters,2666-2221,26662221,30253,Active,
7881,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Sustainable Operations and Computers,2666-4127,26664127,30317,Active,
7882,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Systems and Soft Computing,2772-9419,27729419,30253,Active,
7883,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Telematics and Informatics,0736-5853,07365853,00703,Active,
7884,Physical Sciences and Engineering,Computer Science,Computer Science Applications,Telematics and Informatics Reports,2772-5030,27725030,31253,Active,
7939,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,CAAI Transactions on Intelligence Technology,2468-2322,24682322,18343,Transferred,Transferred back to the society as of 2017
7941,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,Design and Artificial Intelligence,3050-7413,30507413,32094,Active,
7944,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,Future Generation Computer Systems,0167-739X,0167739X,05273,Active,
7945,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,Information and Software Technology,0950-5849,09505849,05281,Active,Formerly known as Data Processing
7946,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,Interacting with Computers,0953-5438,09535438,05287,Transferred,Transferred to Oxford University Press as of 2013
7948,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,International Journal of Human-Computer Studies,1071-5819,10715819,12608,Active,Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition
7949,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,International Journal of Man-Machine Studies,0020-7373,00207373,12608,Changed Name,Continued as International Journal of Human-Computer Studies
7952,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,Journal of Responsible Technology,2666-6596,26666596,30406,Active,
7954,Physical Sciences and Engineering,Computer Science,Human-Computer Interaction,Telematics and Informatics Reports,2772-5030,27725030,31253,Active,
7959,Physical Sciences and Engineering,Computer Science,Information Systems,Computers & Security,0167-4048,01674048,02069,Active,
7961,Physical Sciences and Engineering,Computer Science,Information Systems,Data & Knowledge Engineering,0169-023X,0169023X,05265,Active,
7963,Physical Sciences and Engineering,Computer Science,Information Systems,Data Science and Informetrics,2694-6106,26946106,32066,Active,
7964,Physical Sciences and Engineering,Computer Science,Information Systems,Data Science and Management,2666-7649,26667649,30429,Active,
7965,Physical Sciences and Engineering,Computer Science,Information Systems,Decision Support Systems,0167-9236,01679236,05366,Active,
7966,Physical Sciences and Engineering,Computer Science,Information Systems,Digital Investigation,1742-2876,17422876,04064,Changed Name,Continued as Forensic Science International: Digital Investigation
7968,Physical Sciences and Engineering,Computer Science,Information Systems,Forensic Science International: Digital Investigation,2666-2817,26662817,04064,Active,Formerly known as Digital Investigation
7969,Physical Sciences and Engineering,Computer Science,Information Systems,Future Computing and Informatics Journal,2314-7288,23147288,18252,Transferred,Transferred to Taylor & Francis as of 2019
7970,Physical Sciences and Engineering,Computer Science,Information Systems,Future Generation Computer Systems,0167-739X,0167739X,05273,Active,
7971,Physical Sciences and Engineering,Computer Science,Information Systems,Healthcare,2213-0764,22130764,14138,Active,
7974,Physical Sciences and Engineering,Computer Science,Information Systems,Informatics and Health,2949-9534,29499534,31621,Active,
7975,Physical Sciences and Engineering,Computer Science,Information Systems,Informatics in Medicine Unlocked,2352-9148,23529148,18129,Active,
7976,Physical Sciences and Engineering,Computer Science,Information Systems,Information Fusion,1566-2535,15662535,05561,Active,
7977,Physical Sciences and Engineering,Computer Science,Information Systems,Information & Management,0378-7206,03787206,05374,Active,
7978,Physical Sciences and Engineering,Computer Science,Information Systems,Information and Organization,1471-7727,14717727,00964,Active,"Formerly known as Accounting, Management and Information Technologies"
7979,Physical Sciences and Engineering,Computer Science,Information Systems,Information Processing & Management,0306-4573,03064573,00244,Active,Formerly known as Information Storage and Retrieval
7980,Physical Sciences and Engineering,Computer Science,Information Systems,Information Sciences,0020-0255,00200255,07669,Active,Incorporating Information Sciences - Applications
7981,Physical Sciences and Engineering,Computer Science,Information Systems,Information Security Technical Report,1363-4127,13634127,02199,Changed Name,Continued as Journal of Information Security and Applications
7982,Physical Sciences and Engineering,Computer Science,Information Systems,Information and Software Technology,0950-5849,09505849,05281,Active,Formerly known as Data Processing
7984,Physical Sciences and Engineering,Computer Science,Information Systems,Information Systems,0306-4379,03064379,00236,Active,
7985,Physical Sciences and Engineering,Computer Science,Information Systems,Infosecurity,1754-4548,17544548,04066,Transferred,Formerly known as Infosecurity Today; Transferred to Reed Exhibitions Limited as of 2012
7986,Physical Sciences and Engineering,Computer Science,Information Systems,Infosecurity Today,1742-6847,17426847,04066,Changed Name,Continued as Infosecurity
7987,Physical Sciences and Engineering,Computer Science,Information Systems,Intelligent Data Analysis,1088-467X,1088467X,04672,Transferred,Transferred to IOS Press as of 2000
7988,Physical Sciences and Engineering,Computer Science,Information Systems,International Journal of Approximate Reasoning,0888-613X,0888613X,07662,Active,
7989,Physical Sciences and Engineering,Computer Science,Information Systems,International Journal of Cognitive Computing in Engineering,2666-3074,26663074,30285,Active,
7990,Physical Sciences and Engineering,Computer Science,Information Systems,International Journal of Information Management Data Insights,2667-0968,26670968,31103,Active,
7991,Physical Sciences and Engineering,Computer Science,Information Systems,International Journal of Medical Informatics,1386-5056,13865056,08024,Active,Formerly known as International Journal of Bio-Medical Computing
7996,Physical Sciences and Engineering,Computer Science,Information Systems,Journal of Industrial Information Integration,2452-414X,2452414X,18297,Active,
7997,Physical Sciences and Engineering,Computer Science,Information Systems,Journal of Information and Intelligence,2949-7159,29497159,31493,Active,
7998,Physical Sciences and Engineering,Computer Science,Information Systems,Journal of Information Security and Applications,2214-2126,22142126,02199,Active,Formerly known as Information Security Technical Report
8000,Physical Sciences and Engineering,Computer Science,Information Systems,Journal of Innovation in Digital Ecosystems,2352-6645,23526645,18091,Transferred,Transferred back to the society as of 2017
8001,Physical Sciences and Engineering,Computer Science,Information Systems,Journal of Responsible Technology,2666-6596,26666596,30406,Active,
8002,Physical Sciences and Engineering,Computer Science,Information Systems,The Journal of Strategic Information Systems,0963-8687,09638687,05402,Active,
8003,Physical Sciences and Engineering,Computer Science,Information Systems,Journal of Systems and Software,0164-1212,01641212,07735,Active,
8038,Physical Sciences and Engineering,Computer Science,Software,AI Open,2666-6510,26666510,30405,Active,
8044,Physical Sciences and Engineering,Computer Science,Software,Computer Methods and Programs in Biomedicine,0169-2607,01692607,08010,Active,Formerly known as Computer Programs in Biomedicine
8049,Physical Sciences and Engineering,Computer Science,Software,Digital Investigation,1742-2876,17422876,04064,Changed Name,Continued as Forensic Science International: Digital Investigation
8055,Physical Sciences and Engineering,Computer Science,Software,Forensic Science International: Digital Investigation,2666-2817,26662817,04064,Active,Formerly known as Digital Investigation
8056,Physical Sciences and Engineering,Computer Science,Software,Future Computing and Informatics Journal,2314-7288,23147288,18252,Transferred,Transferred to Taylor & Francis as of 2019
8057,Physical Sciences and Engineering,Computer Science,Software,Future Generation Computer Systems,0167-739X,0167739X,05273,Active,
8059,Physical Sciences and Engineering,Computer Science,Software,High-Confidence Computing,2667-2952,26672952,31164,Active,
8060,Physical Sciences and Engineering,Computer Science,Software,Information and Software Technology,0950-5849,09505849,05281,Active,Formerly known as Data Processing
8061,Physical Sciences and Engineering,Computer Science,Software,Information Systems,0306-4379,03064379,00236,Active,
8063,Physical Sciences and Engineering,Computer Science,Software,Intelligent Data Analysis,1088-467X,1088467X,04672,Transferred,Transferred to IOS Press as of 2000
8065,Physical Sciences and Engineering,Computer Science,Software,Journal of Innovation in Digital Ecosystems,2352-6645,23526645,18091,Transferred,Transferred back to the society as of 2017
8071,Physical Sciences and Engineering,Computer Science,Software,Journal of Systems and Software,0164-1212,01641212,07735,Active,
8076,Physical Sciences and Engineering,Computer Science,Software,Network Security,1353-4858,13534858,02158,Transferred,Transferred to Mark Allen Group as of 2022
8077,Physical Sciences and Engineering,Computer Science,Software,Performance Evaluation,0166-5316,01665316,05304,Active,
10076,Physical Sciences and Engineering,Mathematics,Control and Optimization,Knowledge-Based Systems,0950-7051,09507051,05293,Active,
10077,Physical Sciences and Engineering,Mathematics,Control and Optimization,Neural Networks,0893-6080,08936080,00841,Active,
10158,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Computers & Mathematics with Applications,0898-1221,08981221,00301,Active,
10159,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Computers & Operations Research,0305-0548,03050548,00300,Active,Incorporating Location Science and Surveys in Operations Research and Management Science
10161,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,European Journal of Operational Research,0377-2217,03772217,05369,Active,
10164,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Handbooks in Operations Research and Management Science,0927-0507,09270507,08671,Changed Name,Continued as Surveys in Operations Research and Management Science
10165,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Healthcare Analytics,2772-4425,27724425,31243,Active,
10166,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,International Transactions in Operational Research,0969-6016,09696016,00134,Transferred,Transferred to Blackwell as of 2001
10168,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Journal of Operations Management,0272-6963,02726963,05400,Transferred,Transferred to Wiley as of 2019
10173,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Operations Research Letters,0167-6377,01676377,05412,Active,
10174,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Operations Research Perspectives,2214-7160,22147160,17040,Active,
10175,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Performance Evaluation,0166-5316,01665316,05304,Active,
10180,Physical Sciences and Engineering,Mathematics,Modelling and Simulation,Surveys in Operations Research and Management Science,1876-7354,18767354,00300,Incorporated,Formerly known as Handbooks in Operations Research and Management Science; Incorporated into Computers & Operations Research;
10202,Physical Sciences and Engineering,Mathematics,Statistics and Probability,Fuzzy Sets and Systems,0165-0114,01650114,05371,Active,
10203,Physical Sciences and Engineering,Mathematics,Statistics and Probability,Information Sciences,0020-0255,00200255,07669,Active,Incorporating Information Sciences - Applications
10205,Physical Sciences and Engineering,Mathematics,Statistics and Probability,International Journal of Approximate Reasoning,0888-613X,0888613X,07662,Active,
10211,Physical Sciences and Engineering,Mathematics,Statistics and Probability,Performance Evaluation,0166-5316,01665316,05304,Active,
10739,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Data and Information Management,2543-9251,25439251,31435,Active,
10740,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Data Science and Management,2666-7649,26667649,30429,Active,
10741,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Decision Support Systems,0167-9236,01679236,05366,Active,
10742,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Digital Investigation,1742-2876,17422876,04064,Changed Name,Continued as Forensic Science International: Digital Investigation
10743,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Engineering Management International,0167-5419,01675419,05392,Changed Name,Continued as Journal of Engineering and Technology Management
10744,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Expert Systems with Applications,0957-4174,09574174,00939,Active,
10745,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Forensic Science International: Digital Investigation,2666-2817,26662817,04064,Active,Formerly known as Digital Investigation
10746,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Future Business Journal,2314-7210,23147210,18145,Transferred,Transferred to Springer Nature as of 2019
10747,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Government Information Quarterly,0740-624X,0740624X,07408,Active,Incorporating Journal of Government Information
10748,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Information & Management,0378-7206,03787206,05374,Active,
10749,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Information and Organization,1471-7727,14717727,00964,Active,"Formerly known as Accounting, Management and Information Technologies"
10750,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Information Systems,0306-4379,03064379,00236,Active,
10751,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Infosecurity,1754-4548,17544548,04066,Transferred,Formerly known as Infosecurity Today; Transferred to Reed Exhibitions Limited as of 2012
10752,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Infosecurity Today,1742-6847,17426847,04066,Changed Name,Continued as Infosecurity
10753,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,International Journal of Accounting Information Systems,1467-0895,14670895,07464,Active,
10754,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,International Journal of Information Management,0268-4012,02684012,03046,Active,Formerly known as Social Science Information Studies
10755,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Journal of Industrial Information Integration,2452-414X,2452414X,18297,Active,
10756,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,Journal of Management Science and Engineering,2096-2320,20962320,18438,Active,
10757,Social Sciences and Humanities,"Business, Management and Accounting",Management Information Systems,The Journal of Strategic Information Systems,0963-8687,09638687,05402,Active,
10759,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,BRQ Business Research Quarterly,2340-9436,23409436,15789,Transferred,Transferred to SAGE as of 2020
10760,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Cleaner Logistics and Supply Chain,2772-3909,27723909,31218,Active,
10764,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Engineering Management International,0167-5419,01675419,05392,Changed Name,Continued as Journal of Engineering and Technology Management
10765,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,European Journal of Management and Business Economics ,2444-8451,24448451,15977,Transferred,Formerly known as Revista Europea de Dirección y Economía de la Empresa; Transferred back to the society as of 2017
10766,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,European Journal of Purchasing & Supply Management,0969-7012,09697012,03028,Changed Name,Continued as Journal of Purchasing and Supply Management
10767,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,European Research on Management and Business Economics,2444-8834,24448834,15976,Active,Formerly  known as Investigaciones Europeas de Dirección y Economía de la Empresa
10768,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Expert Systems with Applications,0957-4174,09574174,00939,Active,
10769,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,IIMB Management Review,0970-3896,09703896,12768,Active,
10770,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Information Economics and Policy,0167-6245,01676245,05375,Active,
10771,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Information and Organization,1471-7727,14717727,00964,Active,"Formerly known as Accounting, Management and Information Technologies"
10772,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Information Systems,0306-4379,03064379,00236,Active,
10773,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Infosecurity,1754-4548,17544548,04066,Transferred,Formerly known as Infosecurity Today; Transferred to Reed Exhibitions Limited as of 2012
10774,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Infosecurity Today,1742-6847,17426847,04066,Changed Name,Continued as Infosecurity
10775,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Innovation and Green Development,2949-7531,29497531,31514,Active,
10776,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,International Journal of Innovation Studies,2096-2487,20962487,18405,Active,
10777,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,International Journal of Project Management,0263-7863,02637863,03047,Active,
10780,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Investigaciones Europeas de Dirección y Economía de la Empresa,1135-2523,11352523,15976,Changed Name,Continued as European Research on Management and Business Economics
10782,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Journal of Business Venturing,0883-9026,08839026,07688,Active,
10783,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Journal of Business Venturing Insights,2352-6734,23526734,18760,Active,
10784,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Journal of Engineering and Technology Management,0923-4748,09234748,05392,Active,Formerly known as Engineering Management International
10785,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Journal of Family Business Strategy,1877-8585,18778585,05629,Active,
10786,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,The Journal of High Technology Management Research,1047-8310,10478310,07423,Active,
10787,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Journal of Innovation & Knowledge,2444-569X,2444569X,16414,Active,
10788,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,"Journal of Open Innovation: Technology, Market, and Complexity",2199-8531,21998531,31515,Active,
10789,Social Sciences and Humanities,"Business, Management and Accounting",Management of Technology and Innovation,Journal of Strategy & Innovation,3050-7901,30507901,07423,Active,
