Sourcerecord ID,Source Title,ISSN,EISSN,Active or Inactive,Coverage,Titles Discontinued by Scopus Due to Quality Issues,Article Language in Source (Three-Letter ISO Language Codes),Medline-sourced Title? (See additional details under separate tab.),Open Access Status,Articles in Press Included?,Added to List Jul. 2025,Source Type,Title History Indication,Related Title 1,Other Related Title 2,Other Related Title 3,Other Related Title 4,Publisher,Publisher Imprints Grouped to Main Publisher,All Science Journal Classification Codes (ASJC),"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1000 
General","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1400
Business, Management and Accounting","1500
Chemical Engineering","1600
Chemistry","1700
Computer Science","1800
Decision Sciences","1900
Earth and Planetary Sciences","2000
Economics, Econometrics and Finance","2100
Energy","2200
Engineering","2300
Environmental Science","2400
Immunology and Microbiology","2500
Materials Science","2600
Mathematics","2700
Medicine","2800
Neuroscience","2900
Nursing","3000
Pharmacology, Toxicology and Pharmaceutics","3100
Physics and Astronomy","3200
Psychology","3300
Social Sciences","3400
Veterinary","3500
Dentistry","3600
Health Professions"
21101213851,Southern African Journal of Environmental Education,02567504,24115959,Active,2019-2025,,ENG,,Unpaywall Open Access,,,Journal,,,,,,"EEASA, Environmental Learning Research Centre, Department of Education, Rhodes University","EEASA, Environmental Learning Research Centre, Department of Education, Rhodes University",1901; 3304,,Social Sciences,Physical Sciences,,,,,,,,,,,Earth and Planetary Sciences ,,,,,,,,,,,,,,Social Sciences ,,,
21101045754,Southern African Journal of Social Work and Social Development,25200097,27089355,Active,2017-2025,,ENG,,,,,Journal,,,,,,Unisa Press,Unisa Press,3312; 3303; 3306,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
23667,Southern African Linguistics and Applied Language Studies,16073614,17279461,Active,2003-2025,,ENG,,,Articles in Press,,Journal,,,,,,Taylor and Francis Ltd.,Taylor & Francis,3310,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
19676,Southern California Law Review,00383910,,Active,1996-2025; 1991-1992; 1985-1988; 1981-1982; 1973-1979,,ENG,,,,,Journal,,,,,,University of Southern California,University of Southern California,3308,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
5600155554,Southern Communication Journal,1041794X,19303203,Active,1988-2025,,ENG,,,Articles in Press,,Journal,Formerly known as,Southern Speech Journal,,,,Routledge,Taylor & Francis,3315,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
6000161368,Southern Cultures,10688218,,Active,2002-2025,,ENG,,,,,Journal,,,,,,University of North Carolina Press,University of North Carolina Press,1200; 3316,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
25494,Southern Economic Journal,00384038,,Active,1975-2025,,ENG,,,Articles in Press,,Journal,,,,,,Wiley-Blackwell,John Wiley & Sons,2002,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
21101196036,Southern Energy Construction,20958676,,Active,2022-2025,,CHI; ENG,,,,,Journal,,,,,,"Energy Observer Magazine Co., Ltd.","Energy Observer Magazine Co., Ltd.",2215; 2102,,,Physical Sciences,,,,,,,,,,,,,Energy ,Engineering ,,,,,,,,,,,,,,
16000154754,Southern Humanities Review,00384186,,Active,2019-2025; 2002-2016; 1967,,ENG,,,,,Journal,,,,,,Auburn University,Auburn University,1200,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
21101115501,Southern Journal for Contemporary History,02582422,24150509,Active,2019-2024,,ENG,,,,,Journal,,,,,,University of the Free State,University of the Free State,1202,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
16000154708,Southern Journal of Philosophy,00384283,20416962,Active,1963-2025,,ENG,,,Articles in Press,,Journal,,,,,,John Wiley and Sons Inc,John Wiley & Sons,1211,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
16400154719,Southern Literary Journal,00384291,,Inactive,2002-2014,,ENG,,,,,Journal,Continued as,South,,,,University of North Carolina Press,University of North Carolina Press,1208; 3316,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21101300538,Southern Power System Technology,16740629,,Active,2024-2025,,CHI; ENG,,,,,Journal,,,,,,Editorial Department of Southern Power System Technology,Editorial Department of Southern Power System Technology,2208,,,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,,,,,,,,,,,,
21101089399,Southern Semiotic Review,22022775,22022783,Active,2020-2025,,ENG,,,,,Journal,,,,,,Playscript,Playscript,1208; 3310; 1211; 1203,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
16200154777,Southwestern Historical Quarterly,0038478X,15589560,Active,2003-2025; 2001; 1993; 1986; 1980; 1977-1978; 1974; 1966,,ENG,,,,,Journal,,,,,,University of Texas Press,University of Texas Press,1202,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
19600157014,Soviet and Post Soviet Review,10751262,18763324,Active,2009-2025; 1999-2000; 1992-1997; 1987-1990; 1983-1984; 1981; 1979; 1974-1977,,ENG,,,Articles in Press,,Journal,,,,,,Brill Academic Publishers,Brill,3312; 1202,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21100865030,Soviet and Post-Soviet Politics and Society,16143515,,Active,2018-2025,,ENG,,,,,Book Series,,,,,,Ibidem Verlag,Ibidem Verlag,3320; 1202; 3312,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21101169886,Sovremennaa Terapia Psihiceskih Rasstrojstv,23064137,,Active,2023-2025,,ENG; RUS,,,,,Journal,,,,,,IP Kostyukova Elena Grigorievna,IP Kostyukova Elena Grigorievna,3201; 2738; 2737,,Social Sciences,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,Psychology ,,,,
18192,Soziale Welt,00386073,,Active,1996-2024,,ENG,,,,,Journal,,,,,,Nomos Verlagsgesellschaft mbH und Co,Nomos Verlagsgesellschaft mbH and Co. KG,3312,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
5600155048,Space and Culture,12063312,,Active,1997-2025,,ENG,,,Articles in Press,,Journal,,,,,,SAGE Publications Inc.,SAGE,1409; 3322; 1201; 3305; 3316,,Social Sciences,,,,,Arts and Humanities ,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21100814517,"Space and Culture, India",,20528396,Active,2013-2025,,ENG,,Unpaywall Open Access,,,Journal,,,,,,ACCB Publishing,ACCB Publishing,1201; 2001; 3304; 3318; 3303; 3312; 3316,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
21530,Space and Polity,13562576,14701235,Active,1997-2025,,ENG,,,Articles in Press,,Journal,,,,,,Routledge,Taylor & Francis,3320; 3305,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
12897,Space Communications,09248625,,Inactive,2013; 2007-2009; 2000-2005; 1989-1998,,ENG,,,,,Journal,Formerly known as,Space Communication and Broadcasting,,,,IOS Press BV,IOS Press,2208,,,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,,,,,,,,,,,,
12915,Space Policy,02659646,1879338X,Active,1985-2025,,ENG,,,Articles in Press,,Journal,,,,,,Elsevier B.V.,Elsevier,2002; 1912; 3308; 3312,,Social Sciences,Physical Sciences,,,,,,,,,,,Earth and Planetary Sciences ,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
11600153410,Space Research Today,17529298,,Inactive,2019; 2017; 2012-2013; 2007-2008,,ENG,,,,,Journal,,,,,,Elsevier Ltd,Elsevier,2202; 1912,,,Physical Sciences,,,,,,,,,,,Earth and Planetary Sciences ,,,Engineering ,,,,,,,,,,,,,,
21101145380,Space: Science and Technology (United States),,26927659,Active,2021-2025,,ENG,,Unpaywall Open Access,,,Journal,,,,,,American Association for the Advancement of Science,American Association for the Advancement of Science,1912; 2202,,,Physical Sciences,,,,,,,,,,,Earth and Planetary Sciences ,,,Engineering ,,,,,,,,,,,,,,
21100967513,SPAFA Journal,08581975,25868721,Active,2019-2025,,ENG,,Unpaywall Open Access,,,Journal,,,,,,Southeast Asian Ministers of Education Organization Regional Centre for Archaeology and Fine Arts (SEAMEO SPAFA),Southeast Asian Ministers of Education Organization Regional Centre for Archaeology and Fine Arts (SEAMEO SPAFA),3302; 1213; 1204; 1206,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21212,Spagna Contemporanea,11217480,27857743,Inactive,2019-2022; 2002; 1997,,CAT; ENG; ITA; SPA,,,,,Journal,,,,,,Viella,Viella,3316; 1202; 1208; 1201,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21100463542,SPAL,11334525,22553924,Active,2015-2025,,ENG,,,,,Journal,,,,,,Seville University Press,Seville University Press,3302; 1202; 1204,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
11600153457,Spanish in Context,15710718,15710726,Active,2004-2025,,ENG,,,Articles in Press,,Journal,,,,,,John Benjamins Publishing Company,John Benjamins Publishing Company,1208; 3310; 1203,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21100855756,Spanish Journal of Marketing - ESIC,24449695,24449709,Active,2016-2025,,ENG,,Unpaywall Open Access,Articles in Press,,Journal,,,,,,Emerald Group Publishing Ltd.,Emerald Publishing,1406,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
15272,Spanish Journal of Psychology,11387416,19882904,Active,1998-2025,,ENG,Medline,,,,Journal,,,,,,Cambridge University Press,Cambridge University Press,3310; 3200; 1203,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,Psychology ,Social Sciences ,,,
20500195027,Spanish Review of Financial Economics,21731268,,Inactive,2011-2017,,ENG,,,,,Journal,,,,,,"Ediciones Doyma, S.L.",Elsevier,2002; 2003,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
19700167025,Spatial and Spatio-temporal Epidemiology,18775845,18775853,Active,2009-2025,,ENG,Medline,,,,Journal,,,,,,Elsevier Ltd,Elsevier,3305; 2307; 2725; 2713,,Social Sciences,Physical Sciences,Health Sciences,,,,,,,,,,,,,,Environmental Science ,,,,Medicine ,,,,,,Social Sciences ,,,
5800208235,Spatial Cognition and Computation,13875868,,Active,2003-2025; 2000,,ENG,,,Articles in Press,,Journal,,,,,,Taylor and Francis Ltd.,Taylor & Francis,1704; 1904; 1707; 3205; 2611,,Social Sciences,Physical Sciences,,,,,,,,,Computer Science ,,Earth and Planetary Sciences ,,,,,,,Mathematics ,,,,,,Psychology ,,,,
7100153133,Spatial Economic Analysis,17421772,17421780,Active,2006-2025,,ENG,,,Articles in Press,,Journal,,,,,,Routledge,Taylor & Francis,1901; 1804; 2000; 3305,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,Earth and Planetary Sciences ,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
21101022415,Spatial Information Research,23663286,23663294,Active,2016-2025,,ENG,,,Articles in Press,,Journal,,,,,,Korean Spatial Information Society,Korean Spatial Information Society,1706; 1702; 1903; 3305,,Social Sciences,Physical Sciences,,,,,,,,,Computer Science ,,Earth and Planetary Sciences ,,,,,,,,,,,,,,Social Sciences ,,,
21101225407,Spatial Practices,1871689X,,Active,2024; 2007-2020,,ENG,,,,,Book Series,,,,,,Brill Academic Publishers,Brill,3305,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21100206605,Spatial Statistics,22116753,,Active,2012-2025,,ENG,,,,,Journal,,,,,,Elsevier B.V.,Elsevier,2308; 2613; 1903,,,Physical Sciences,,,,,,,,,,,Earth and Planetary Sciences ,,,,Environmental Science ,,,Mathematics ,,,,,,,,,,
21100198226,Spatium,1450569X,22178066,Active,2011-2024,,ENG,,Unpaywall Open Access,,,Journal,,,,,,Institute of Architecture and Urban & Spatial Planning of Serbia (IAUS),Institute of Architecture and Urban & Spatial Planning of Serbia (IAUS),3322; 1213; 2216,,Social Sciences,Physical Sciences,,,,Arts and Humanities ,,,,,,,,,,Engineering ,,,,,,,,,,,Social Sciences ,,,
18899,SPE Drilling and Completion,10646671,,Inactive,1993-2023,,ENG,,,,,Journal,Continued as,SPE Drilling Engineering,SPE Journal,,,Society of Petroleum Engineers (SPE),Society of Petroleum Engineers,2210; 2102,,,Physical Sciences,,,,,,,,,,,,,Energy ,Engineering ,,,,,,,,,,,,,,
19700190320,SPE Economics and Management,,21501173,Inactive,2009-2017,,ENG,,,,,Journal,,,,,,Society of Petroleum Engineers (SPE),Society of Petroleum Engineers,2100; 1400,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,,,,,Energy ,,,,,,,,,,,,,,,
21101172101,SPE Polymers,,26903857,Active,2020-2025,,ENG,,Unpaywall Open Access,Articles in Press,,Journal,,,,,,John Wiley and Sons Inc,John Wiley & Sons,2201; 2502; 2501; 2507,,,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,Materials Science ,,,,,,,,,,,
19700188468,"SPE Projects, Facilities and Construction",19422431,,Inactive,2006-2011,,ENG,,,,,Journal,,,,,,Society of Petroleum Engineers (SPE),Society of Petroleum Engineers,2308; 2210; 2100; 2212,,,Physical Sciences,,,,,,,,,,,,,Energy ,Engineering ,Environmental Science ,,,,,,,,,,,,,
21100794599,Special Matrices,,23007451,Active,2013-2025,,ENG,,Unpaywall Open Access,,,Journal,,,,,,Walter de Gruyter GmbH,Walter de Gruyter,2608; 2602,,,Physical Sciences,,,,,,,,,,,,,,,,,,Mathematics ,,,,,,,,,,
19800188013,Special Topics and Reviews in Porous Media,21514798,2151562X,Active,2010-2025,,ENG,,,,,Journal,,,,,,Begell House Inc.,Begell House,2500; 2200,,,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,Materials Science ,,,,,,,,,,,
21100223584,Specialusis Ugdymas,13925369,24243299,Active,2016-2024,,ENG,,Unpaywall Open Access,,,Journal,,,,,,Vilnius University Press,Vilnius University Press,3204; 3304,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,Social Sciences ,,,
21100925826,Specijalna Edukacija i Rehabilitacija,14527367,24061328,Active,2018-2025,,ENG; SCC,,Unpaywall Open Access,,,Journal,,,,,,University of Belgrade - Faculty of Special Education and Rehabilitation,University of Belgrade - Faculty of Special Education and Rehabilitation,3204; 3304,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,Social Sciences ,,,
21101240668,Specula. Revista de Humanidades y Espiritualidad,26972484,27923290,Active,2024-2025,,CAT; ENG; FRE; ITA; POR; SPA,,Unpaywall Open Access,,,Journal,,,,,,Universidad Catolica de Valencia San Vicente Martir,Universidad Catolica de Valencia San Vicente Martir,1202; 1211; 1201; 1212,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
21213,Speculum,00387134,20408072,Active,2001-2025; 1997-1999; 1926-1995,,ENG,,,,,Journal,,,,,,University of Chicago Press,University of Chicago Press,1208; 1211; 1212; 1213; 1202; 3316,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
23671,Speech Communication,01676393,,Active,1982-2025,,ENG,,,,,Journal,,,,,,Elsevier B.V.,Elsevier,1203; 1706; 1707; 1712; 3315; 2611; 3310,,Social Sciences,Physical Sciences,,,,Arts and Humanities ,,,,,Computer Science ,,,,,,,,,Mathematics ,,,,,,,Social Sciences ,,,
21100427224,"Speech, Language and Hearing",2050571X,20505728,Active,2013-2025,,ENG,,,Articles in Press,,Journal,,,,,,Taylor and Francis Ltd.,Taylor & Francis,3616; 3310; 2733,,Social Sciences,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,Social Sciences ,,,Health Professions 
16100154773,Spenser Studies,01959468,21678529,Active,2023-2024; 2018-2020; 2007-2012; 2002-2005,,ENG,,,,,Journal,,,,,,University of Chicago Press,University of Chicago Press,1208,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
21100205107,SPIE Reviews,19463251,,Inactive,2010,,ENG,,,,,Journal,,,,,,SPIE,SPIE,2208; 3107,,,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,,,,,,,Physics and Astronomy ,,,,,
16300154739,Spiegel der Letteren,00387479,17831776,Active,1996-2024,,DUT; ENG,,,,,Journal,,,,,,Peeters Publishers,Peeters Publishers,1208,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
21100825467,SPIN,20103247,20103255,Active,2011-2025,,ENG,,,Articles in Press,,Journal,,,,,,World Scientific,World Scientific,3107; 2504; 2208,,,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,Materials Science ,,,,,,Physics and Astronomy ,,,,,
19884,Spinal Cord,13624393,14765624,Active,1996-2025; 1972,,ENG,Medline,,Articles in Press,,Journal,Formerly known as,Paraplegia,,,,Springer Nature,Springer Nature,2808; 2728; 2742,Life Sciences,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,Neuroscience ,,,,,,,,
21100904572,Spinal Cord Series and Cases,,20586124,Active,2017-2025,,ENG,Medline,,,,Journal,,,,,,Springer Nature,Springer Nature,2808; 2728,Life Sciences,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,Neuroscience ,,,,,,,,
54202,Spinnovation,,,Inactive,2020; 2016; 2011-2013; 1995-2008,,ENG,,,,,Trade Journal,,,,,,Spindelfabrik Suessen,Spindelfabrik Suessen,2209; 2501; 1403,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,,,,,,Engineering ,,,Materials Science ,,,,,,,,,,,
17600155215,Spirale,12784699,,Active,2001-2024,,ENG; FRE,,,,,Journal,,,,,,Editions Eres,Editions Eres,3204; 3304; 3306,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,Social Sciences ,,,
21101179292,Spiritual Psychology and Counseling,,24589675,Active,2023-2025,,ENG; TUR,,Unpaywall Open Access,,,Journal,,,,,,Halil Eksi,Halil Eksi,3201,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,,,,
21100831042,Spirituality in Clinical Practice,23264500,23264519,Active,2014-2025,,ENG,,,Articles in Press,,Journal,,,,,,American Psychological Association,American Psychological Association,2738; 2707; 3203; 3603,,Social Sciences,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,Psychology ,,,,Health Professions 
21100925741,Spirituality Studies,,13399578,Active,2019-2025,,ENG,,,,,Journal,,,,,,Society for Spirituality Studies,Society for Spirituality Studies,1211; 1212,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
19700180585,Spiritus,15331709,15353117,Active,2009-2025,,ENG,,,,,Journal,,,,,,Johns Hopkins University Press,Johns Hopkins University Press,1211; 1212; 1202,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
21100920053,Spool,22150897,22150900,Active,2019-2025,,ENG,,Unpaywall Open Access,,,Journal,,,,,,TU Delft Open,TU Delft Open,3322; 2105; 3305; 2216,,Social Sciences,Physical Sciences,,,,,,,,,,,,,Energy ,Engineering ,,,,,,,,,,,Social Sciences ,,,
39560,Spore,10110054,,Inactive,2007-2020; 1988-1998,,ENG,,,,,Journal,,,,,,Centre Technique de Cooperation Agricole et Rurale,Centre Technique de Cooperation Agricole et Rurale,2303; 1107; 3303; 1102,Life Sciences,Social Sciences,Physical Sciences,,,Agricultural and Biological Sciences ,,,,,,,,,,,,Environmental Science ,,,,,,,,,,Social Sciences ,,,
19900192008,Sport History Review,10871659,15432947,Active,2009-2025; 2002; 1999,,ENG,,,,,Journal,,,,,,Human Kinetics Publishers Inc.,Human Kinetics Publishers Inc.,1202; 3612,,Social Sciences,,Health Sciences,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,Health Professions 
